year,type,status,authors,title,venue,volume,issue,pages,url,pdf,notes
2025,Article,Published,"Fevereiro J.B.R.T., Genovese A., Purvis B., Passarella M.V., & Vallès Codina O.",Macroeconomic Models for Assessing the Transition towards a Circular Economy: A Review,Ecological Economics,,,, https://www.sciencedirect.com/science/article/pii/S0921800925001521,,
2024,Article,Published,"Vallès Codina O. & Semmler W.","Time Scales of the Low-Carbon Transition: A Data-Driven Dynamic Multi-Sector Growth Model","Journal of Economics and Statistics (Jahrbücher für Nationalökonomie und Statistik)",,,, https://www.degruyter.com/document/doi/10.1515/jbnst-2023-0040/html,,
2023,Article,Published,Vallès Codina O.,"Business cycles, sectoral price stabilization, and climate change mitigation: A model of multi-sector growth in the tradition of the Bielefeld disequilibrium approach",Journal of Economic Behavior & Organization,216,,636–653, https://www.sciencedirect.com/science/article/pii/S0167268123003451,/files/publications/valles-codina-2023-jebo.pdf,
2015,Article,Published,"Hartasánchez D.A., Brasó-Vives M., Fuentes-Díaz J., Vallès Codina O., & Navarro A.",SeDuS: segmental duplication simulator,Bioinformatics,32,1,148–150, https://europepmc.org/article/MED/24906640,,
2014,Article,Published,"Hartasánchez D.A., Vallès Codina O., Brasó-Vives M., & Navarro A.","Interplay of Interlocus Gene Conversion and Crossover in the Molecular Evolution of Segmentally Duplicated Sequences: the Neutral Scenario",G3,4,8,1479–1489, https://pubmed.ncbi.nlm.nih.gov/24906640/,,
2011,Article,Published,"Vallès Codina O., Möbius R., Rüdiger S., & Schimansky-Geier L.",Traveling echo waves in an array of excitable elements with time-delayed coupling,Physical Review E,83,3,, https://journals.aps.org/pre/abstract/10.1103/PhysRevE.83.036209,,
2024,Book,Published,"Booss-Bavnbek B., Christensen J.H., Richardson K., & Vallès Codina O.","Multiplicity of Time Scales in Complex Systems: Challenges for Sciences and Dissemination (Volumes I & II)",Springer/Birkhauser,,,, https://link.springer.com/book/10.1007/978-3-031-28049-8,,
2024,Book chapter,Published,"Booss-Bavnbek B., Christensen J.H., Richardson K., & Vallès Codina O.",Introduction,"In: Multiplicity of Time Scales in Complex Systems Vol. I, Springer/Birkhauser",,,,,,
2023,Book chapter,Published,"Bimpizas-Pinis M., Genovese A., Kaltenbrunner A., Kesidou E., Purvis B., Fevereiro J.B.R.T., Vallès Codina O., & Veronese Passarella M.","Using input-output stock-flow consistent models to simulate and assess circular economy strategies","In: Circular Economy for Social Transformation, JUST2CE E-book",,,, https://just2ce.eu/wp-content/uploads/2024/06/2024-JUST2CE-eBook-Final_Version_19.4.24-ch16.pdf,,
2023,Book chapter,Published,"Holloway C., Barbareschi G., Vallès Codina O., Colton N., Eide A.H., Morgado-Ramirez Z.D., Danemayer J., Kattel R., & Austin V.",A human rights-based approach to assistive technology provision in global policy,"In: Research Handbook on Disability Policy, Edward Elgar",,,807–822, https://www.elgaronline.com/edcollchap/book/9781800373655/book-part-9781800373655-79.xml,,
2023,Encyclopedia,Published,Vallès Codina O.,"Discrete-Time Models; Punctuated Equilibrium Theory; Subsistence; System Dynamic Models; Temporal Dynamics","In: Dictionary of Ecological Economics, Edward Elgar (eds. Haddad B. & Solomon B.D.)",,,, https://www.e-elgar.com/shop/usd/dictionary-of-ecological-economics-9781788974905.html,,
2026,Working paper,Submitted,Vallès Codina O.,"The sustainable transition is not sustainable: social, financial, and macroeconomic implications of unequal ecological exchange",For Ecological Economics,,,,,,
2024,Working paper,Working paper,Vallès Codina O.,"Environmentalism without class struggle is just gardening: An Ecological Interpretation of the Ricardian Model",For Ecological Economics,,,,,,
2022,Working paper,Working paper,Vallès Codina O.,"The Purely Economic Case for Investing in Health for All: input-output and network analysis","UCL IIPP Working Paper Series (IIPP WP 2022-03)",,,, https://www.ucl.ac.uk/bartlett/public-purpose/sites/bartlett_public_purpose/files/valles_codina_2022._the_purely_economic_case_for_investing_in_assistive_technology_and_health_in_lower_and_upper-middle_income_economies_input-output_and_network_analysis_of_the_assistive_technology_and_health_industrial_ecosystem.pdf,,
2020,Working paper,Working paper,Vallès Codina O.,Classical-Evolutionary Dynamics of Price Formation,"NSSR Working Paper, New School for Social Research",,,, https://www.economicpolicyresearch.org/econ/2020/NSSR_WP_012020.pdf,,
2026,Working paper,In progress,"Vallès Codina O., Fevereiro J.B.R.T., Kaltenbrunner A., Kesidou E., & Passarella M.V.",Climate policies in the Global North exacerbate North-South inequalities,For Ecological Economics,,,,,,
2026,Working paper,In progress,"Vallès Codina O., Rodousakis N., Soklis G., & Yajima T.G.",Input-output analysis of global value chains of German energy,,,,,,,
2026,Working paper,In progress,"Vallès Codina O. & Chatzarakis N.",The mathematical consistency of neoclassical and classical theories of value,For Review of Political Economy,,,,,,
2026,Working paper,In progress,Vallès Codina O.,A conflict theory of pricing,For Industrial and Corporate Change,,,,,,
2026,Working paper,In progress,Vallès Codina O.,The core-periphery structure of global trade,For Review of International Political Economy,,,,,,
2026,Working paper,In progress,Vallès Codina O.,Classifying prototypes of national industrial structures,,,,,,,
2026,Working paper,In progress,Vallès Codina O.,Cycles of migration in coupled Goodwin models,,,,,,,
2026,Working paper,In progress,Vallès Codina O.,No evidence of long-term regional income convergence in Europe 1900-2015,,,,,,,
