product_code,tech,role,stage,exports_kusd,name,year
320890,Solar,Processed Material,Midstream,49531.09799999999,Solar Miscellaneous; Antireflective Coating,2024
847989,Solar,Process Equipment,Downstream,329780.0529999998,Module-Pack Assembly; Module Assembly,2024
901820,Solar,Process Equipment,Midstream,6507.9349999999995,Ingot Production; Infrared Inspection,2024
250510,Solar,Raw Material,Upstream,2372.9939999999997,Silica,2024
260600,Solar,Raw Material,Upstream,241142.8139999999,Bauxite Ore,2024
280469,Solar,Processed Material,Midstream,476963.37600000005,Ingot; Hydrochloric Acid,2024
280490,Solar,Raw Material,Upstream,661.123,Selenium,2024
281820,Solar,Processed Material,Midstream,3353569.0030000005,Current Collector; Alumina,2024
350610,Solar,Processed Material,Midstream,13673.473000000002,Solar Miscellaneous; Silver Conductive Adhesive Paste,2024
390130,Solar,Processed Material,Midstream,84966.655,Diaphragm; Ethylene Polymer,2024
390469,Solar,Processed Material,Midstream,1002.8689999999999,Solar Glass; Fluoro-polymers for Back Sheets,2024
390730,Solar,Processed Material,Midstream,17752.522,Epoxide Resins as Potting Agent,2024
390761,Solar,Processed Material,Midstream,111067.33799999999,Solar Glass; Polyethylene Terephthalate (PET) for Back Sheets,2024
700510,Solar,Product Component,Downstream,3318.593,Module; Glass Sheet Casing (Float),2024
700510,Solar,Processed Material,Midstream,3318.593,Module; Glass Sheet Casing (Float),2024
700719,Solar,Product Component,Downstream,934.4385,Module; Glass Sheet Casing (Toughened),2024
700719,Solar,Processed Material,Midstream,934.4385,Module; Glass Sheet Casing (Toughened),2024
710692,Solar,Processed Material,Midstream,2999.2569999999996,Cell; Silver in Semi-manufactured Forms,2024
760120,Solar,Product Component,Downstream,49516.668999999994,Alloyed Unwrought Aluminum,2024
761090,Solar,Product Component,Downstream,2509.539,Mounting Equipment; Structural Aluminum (Structures),2024
830249,Solar,Product Component,Downstream,2699.507,Mounting Equipment,2024
850172,Solar,Product Component,Downstream,359.117,Photovoltaic DC generators over 50 MW,2024
850180,Solar,Product Component,Downstream,1271.3780000000002,Photovoltaic AC Generators,2024
854129,Solar,Product Component,Downstream,724.114,Inverter,2024
260300,Solar,Raw Material,Upstream,4170906.9540000004,Copper Ore,2024
700529,Solar,Processed Material,Midstream,7581.2880000000005,Solar Glass; Glass Sheet Casing (Float),2024
260400,Solar,Raw Material,Upstream,231029.502,Nickel Ore,2024
851440,Solar,Process Equipment,Midstream,626.344,Induction Heating; Induction Furnace,2024
260900,Solar,Raw Material,Upstream,4025.32,Tin Ore,2024
261610,Solar,Raw Material,Upstream,28154.51,Silver Ore,2024
811292,Solar,Raw Material,Upstream,65087.721999999994,Indium,2024
854143,Solar,Final Product,Final Product,361.202,Modules (Assembled into Panels),2024
251910,Solar,Raw Material,Upstream,173.434,Magnesium Ore,2024
760310,Solar,Processed Material,Midstream,4070.8590000000004,"Cell; Powders of Non-lamellar Structure, of Aluminum",2024
280461,Solar,Processed Material,Midstream,5886.777,Polysilicon,2024
281410,Solar,Processed Material,Midstream,421.816,Solar Miscellaneous; Ammonia for PECVD,2024
721922,Nuclear,Product Component,Downstream,1822.8000000000002,Reactor Core; Structural Steel,2024
840690,Nuclear,Product Component,Downstream,14925.504999999997,Parts of Steam Turbines,2024
260112,Nuclear,Raw Material,Upstream,3380638.405,Iron Ore (Agglomerated),2024
250410,Nuclear,Raw Material,Upstream,20249.642999999996,AAM; Natural Graphite,2024
260111,Nuclear,Raw Material,Upstream,27885565.657999996,Iron Ore (Non- Agglomerated),2024
260200,Nuclear,Raw Material,Upstream,88371.12100000001,Manganese Ore,2024
261000,Nuclear,Raw Material,Upstream,4972.585,Chromium Ore,2024
380110,Nuclear,Processed Material,Midstream,16636.987,AAM; Artificial Graphite,2024
681099,Nuclear,Processed Material,Midstream,11427.650000000001,Hafnium; Control Rods,2024
720270,Nuclear,Processed Material,Midstream,61354.685000000005,Casing; Ferro-molybdenum,2024
721921,Nuclear,Product Component,Downstream,2410.2560000000003,Reactor Core; Structural Steel,2024
841940,Nuclear,Process Equipment,Midstream,5067.784,Production Separation; Atmospheric Distillation Column,2024
