nace_code,nace_desc,nace2_main_section,tech,role,stage,naics6_dominant,naics4_dominant,naics6_all,naics_n_mapped,naics6_desc
1041,Manufacture of oils and fats,C - Manufacturing,Biofuel,Raw Material,Upstream,311224,3112,311224;311225,2,FLOURS AND MEALS OF SOYBEANS
1062,Manufacture of starches and starch products,C - Manufacturing,Biofuel,Raw Material,Upstream,311221,3112,311221,1,"STARCH, WHEAT"
1610,Sawmilling and planing of wood,C - Manufacturing,Biofuel,Raw Material,Upstream,321113,3211,321113,1,"WOOD IN CHIPS OR PARTICLES, CONIFEROUS"
1920,Manufacture of refined petroleum products,C - Manufacturing,Geothermal,Product Component,Midstream,325110,3251,325110,1,"ETHYLENE, PROPYLENE, BUTYLENE AND BUTADIENE LIQIFIED"
2011,Manufacture of industrial gases,C - Manufacturing,Biofuel,Raw Material,Upstream,325120,3251,325120,1,HYDROGEN
2012,Manufacture of dyes and pigments,C - Manufacturing,Batteries,Processed Material,Midstream,325180,3251,325180;325130,2,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2012,Manufacture of dyes and pigments,C - Manufacturing,Biofuel,Processed Material,Midstream,325180,3251,325180;325130,2,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2012,Manufacture of dyes and pigments,C - Manufacturing,Electrolyzers,Processed Material,Midstream,325180,3251,325180;325130,2,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2012,Manufacture of dyes and pigments,C - Manufacturing,Nuclear,Processed Material,Midstream,325180,3251,325180;325130,2,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Batteries,Processed Material,Midstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Batteries,Raw Material,Upstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Biofuel,Processed Material,Midstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Electrolyzers,Processed Material,Midstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Geothermal,Raw Material,Upstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Magnets,Processed Material,Midstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Magnets,Raw Material,Upstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Nuclear,Processed Material,Midstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Nuclear,Processed Material,Upstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Nuclear,Product Component,Downstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Nuclear,Raw Material,Upstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Solar,Processed Material,Midstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Solar,Raw Material,Upstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Transmission,Processed Material,Midstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
2013,Manufacture of other inorganic basic chemicals,C - Manufacturing,Transmission,Raw Material,Upstream,325180,3251,325180;331410;325120;331110;332410,5,"SULFUR, REFINED, OTHER THAN SUBLIMED, PRECIPITATED OR COLLOIDAL"
