tech,code,name,role,stage,position,step,hs_rev_canonical,split_weight,codename,nace4,naics6_nace,naics6,naics6_all,naics_n_mapped
Batteries,250410,AAM; Natural Graphite,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,250410 | AAM; Natural Graphite,0891,212323,327992,327992,1
Batteries,251020,Phosphate Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,251020 | Phosphate Ore,0891,212323,212390,212390,1
Batteries,260111,Iron Ore (Non- Agglomerated),Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260111 | Iron Ore (Non- Agglomerated),0710,212210,212210,212210,1
Batteries,260112,Iron Ore (Agglomerated),Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260112 | Iron Ore (Agglomerated),0710,212210,212210,212210,1
Batteries,260120,Iron (Roasted Iron Pyrites),Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260120 | Iron (Roasted Iron Pyrites),2013,325180,331110,331110,1
Batteries,260200,Manganese Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260200 | Manganese Ore,0729,212290,212290,212290,1
Batteries,260300,Copper Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260300 | Copper Ore,0729,212290,212230,212230,1
Batteries,260400,Nickel Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260400 | Nickel Ore,0729,212290,212230,212230,1
Batteries,260500,Cobalt Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260500 | Cobalt Ore,0729,212290,212290,212290,1
Batteries,260600,Bauxite Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260600 | Bauxite Ore,0729,212290,212290,212290,1
Batteries,280519,Lithium,Raw Material,Upstream,Upstream | Raw Material,1,HS07,1,280519 | Lithium,2013,325180,325180,325180,1
Batteries,281820,Current Collector; Alumina,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,281820 | Current Collector; Alumina,2442,331313,331313,331313,1
Batteries,282010,CAM; Manganese Dioxide,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,282010 | CAM; Manganese Dioxide,2012,325180,325180,325180,1
Batteries,282090,CAM; Manganese Oxides,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,282090 | CAM; Manganese Oxides,2012,325180,325180,325180,1
Batteries,282200,"CAM; Electrolytic Cobalt, LCO (Lithium Cobalt Oxide)",Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,"282200 | CAM; Electrolytic Cobalt, LCO (Lithium Cobalt Oxide)",2012,325180,325180,325180,1
Batteries,282510,CAM; Inorganic Salts,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,282510 | CAM; Inorganic Salts,2013,325180,325180,325180,1
Batteries,282520,CAM; Lithium Hydroxide,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,282520 | CAM; Lithium Hydroxide,2012,325180,325180,325180,1
Batteries,282540,CAM; NMC (Nickel Manganese Cobalt Oxide),Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,282540 | CAM; NMC (Nickel Manganese Cobalt Oxide),2012,325180,325180,325180,1
