tech,hs_code,description,category,shap_mean_z
Batteries,391190,"Polysulphides, polysulphones and similar products of chemical synthesis n.e.s. in chapter 39; in primary forms",Chemicals,0.6564955896932839
Batteries,847990,"Machines and mechanical appliances; parts, of those having individual functions",Machinery,0.6478346563882807
Batteries,370130,"Photographic plates and film; in the flat, sensitised, unexposed, with any side exceeding 225mm, of any materials other than paper, paperboard or textiles",Chemicals,0.642395859201059
Batteries,903190,"Instruments, appliances and machines; parts and accessories for those measuring or checking devices of heading no. 9031",Machinery,0.6391521780561201
Batteries,282540,Nickel oxides and hydroxides,Chemicals,0.6191675058822866
Batteries,902790,Microtomes and parts and accessories thereof,Machinery,0.6098952396099173
Batteries,291030,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, 1-chloro-2,3-epoxypropane (epichlorohydrin)",Chemicals,0.6019620965419007
Batteries,282200,Cobalt oxides and hydroxides; commercial cobalt oxides,Chemicals,0.597745759502243
Batteries,382490,"Chemical products, preparations and residual products of the chemical or allied industries, n.e.s. or included in heading no. 3824",Chemicals,0.5843183887118321
Batteries,903180,"Instruments, appliances and machines; for measuring or checking n.e.s. in chapter 90",Machinery,0.5816772483366035
Batteries,903039,"Instruments and apparatus; for measuring or checking voltage, current, resistance or power, without a recording device (excluding multimeters)",Machinery,0.5815448429320013
Batteries,NA,Tariff_measures_affected_z,Non-HS,0.5790651839696086
Batteries,NA,fdi_z,Non-HS,0.5783052069894286
Batteries,291613,Acids; unsaturated acyclic monocarboxylic acids; methacrylic acid and its salts,Chemicals,0.5778712451181297
Batteries,761699,Aluminium; n.e.s. in heading no. 7616,Metals,0.568338650259327
Batteries,903149,"Optical instruments and appliances; for measuring or checking, n.e.s. in chapter 90",Machinery,0.5612246567886882
Batteries,260600,Aluminium ores and concentrates,Metals,0.5569551746474154
Batteries,842489,"Mechanical appliances; for projecting, dispersing or spraying liquids or powders, for other than agricultural or horticultural use, whether or not hand-operated",Machinery,0.5502848615410579
Batteries,283324,Sulphates; of nickel,Chemicals,0.5498473344705066
Batteries,847989,"Machines and mechanical appliances; n.e.s. in item no. 8479.8, having individual functions",Machinery,0.5482026929437498
Batteries,NA,gdp_z,Non-HS,0.5432381145623901
Batteries,750120,Nickel; oxide sinters and other intermediate products of nickel metallurgy,Metals,0.542974356487448
Batteries,390591,"Vinyl acetate, vinyl ester polymers, vinyl polymers; n.e.s. in heading no. 3905, in primary forms, copolymers",Chemicals,0.5414066371896398
Batteries,850790,Electric accumulators; parts n.e.s. in heading no. 8507,Electronics,0.5413992044223732
Batteries,390710,Polyacetals; in primary forms,Chemicals,0.5391930448248899
Batteries,903089,"Instruments and apparatus; for measuring or detecting alpha, beta, gamma, x-ray, cosmic or other ionising radiations, without a recording device",Machinery,0.538635080090833
Batteries,NA,industry_gdp_z,Non-HS,0.5379834085202346
Batteries,391000,Silicones; in primary forms,Chemicals,0.5327166251260258
Batteries,282090,Manganese oxides; excluding manganese dioxide,Chemicals,0.5266586282920406
Batteries,NA,mfg_z,Non-HS,0.5263602732202152
Batteries,392350,"Plastics; stoppers, lids, caps and other closures, for the conveyance or packing of goods",Chemicals,0.526195839384745
Batteries,392020,"Plastics; of polymers of propylene, plates, sheets, film, foil and strip, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",Chemicals,0.5202542851691357
Batteries,851580,"Welding machines and apparatus; n.e.s. in heading no. 8515, whether or not capable of cutting",Electronics,0.5157867996633317
Batteries,847981,"Machines and mechanical appliances; for treating metal, including electric wire coil-winders",Machinery,0.5112905704768198
