year,tech,role,stage,exports,imports,balance
1995,Biofuel,Raw Material,Upstream,250209.34600000005,52577.2,197632.14600000007
1995,Biofuel,Process Equipment,Downstream,423033.678,262020.32100000008,161013.35699999993
1995,Biofuel,Processed Material,Midstream,114591.58600000004,493441.15300000005,-378849.56700000004
1995,Biofuel,Process Equipment,Midstream,9583.721000000001,46545.049,-36961.327999999994
1995,Biofuel,Final Product,Final Product,2002.7109999999998,463687.754,-461685.043
1996,Biofuel,Raw Material,Upstream,272502.607,5420.017,267082.59
1996,Biofuel,Processed Material,Midstream,110579.94000000003,115346.99999999997,-4767.0599999999395
1996,Biofuel,Process Equipment,Downstream,339701.58200000005,251879.42700000003,87822.15500000003
1996,Biofuel,Process Equipment,Midstream,24230.133,26635.302999999996,-2405.1699999999946
1996,Biofuel,Final Product,Final Product,5856.871999999999,68878.879,-63022.007
1997,Biofuel,Raw Material,Upstream,331734.43000000005,50188.25500000001,281546.17500000005
1997,Biofuel,Processed Material,Midstream,184177.26199999993,286281.5,-102104.23800000007
1997,Biofuel,Process Equipment,Downstream,412985.58700000006,448808.2640000001,-35822.677000000025
1997,Biofuel,Process Equipment,Midstream,12617.446999999998,51692.10699999999,-39074.65999999999
1997,Biofuel,Final Product,Final Product,3161.8570000000004,140042.89899999998,-136881.042
1998,Biofuel,Raw Material,Upstream,383157.879,68922.98400000001,314234.895
1998,Biofuel,Process Equipment,Downstream,452872.069,335333.23600000003,117538.83299999998
1998,Biofuel,Processed Material,Midstream,213250.29800000004,212004.75100000002,1245.5470000000205
1998,Biofuel,Process Equipment,Midstream,14608.224999999999,68026.398,-53418.173
1998,Biofuel,Final Product,Final Product,2217.957,886.968,1330.989
1999,Biofuel,Raw Material,Upstream,309821.171,50261.109,259560.06199999998
1999,Biofuel,Process Equipment,Downstream,447885.5730000001,286640.443,161245.13000000006
1999,Biofuel,Processed Material,Midstream,255524.54099999997,217792.626,37731.91499999998
1999,Biofuel,Process Equipment,Midstream,10126.379,41005.271,-30878.892
1999,Biofuel,Final Product,Final Product,3983.0609999999997,350.876,3632.1849999999995
2000,Biofuel,Raw Material,Upstream,279275.731,53763.01400000002,225512.717
2000,Biofuel,Process Equipment,Downstream,479318.943,281678.279,197640.66400000005
2000,Biofuel,Processed Material,Midstream,324731.3879999999,285560.9610000002,39170.426999999734
2000,Biofuel,Process Equipment,Midstream,8016.4569999999985,40320.19700000001,-32303.74000000001
2000,Biofuel,Final Product,Final Product,9030.502,1475.234,7555.268
2001,Biofuel,Raw Material,Upstream,264582.196,43087.595,221494.601
2001,Biofuel,Process Equipment,Downstream,454138.2479999999,283931.4299999999,170206.81800000003
2001,Biofuel,Processed Material,Midstream,313307.255,292705.085,20602.169999999984
2001,Biofuel,Process Equipment,Midstream,11761.175000000001,48973.69,-37212.515
2001,Biofuel,Final Product,Final Product,5948.322999999999,2616.3500000000004,3331.972999999999
2002,Biofuel,Raw Material,Upstream,319977.162,46322.77,273654.392
2002,Biofuel,Processed Material,Midstream,255894.42526923082,233008.7286153846,22885.696653846215
2002,Biofuel,Final Product,Final Product,6067.129631868134,107.32617216117207,5959.803459706962
2002,Biofuel,Process Equipment,Downstream,513501.77900000004,307537.9970000001,205963.78199999995
2002,Biofuel,Process Equipment,Midstream,11343.848,45135.44899999999,-33791.600999999995
2003,Biofuel,Raw Material,Upstream,444773.16799999983,59228.359500000006,385544.8084999998
2003,Biofuel,Processed Material,Midstream,401652.8992115383,242230.0924807692,159422.8067307691
2003,Biofuel,Final Product,Final Product,12876.24353388278,111.97764194139185,12764.265891941388
2003,Biofuel,Process Equipment,Downstream,553966.2139999999,305999.93999999994,247966.27399999998
2003,Biofuel,Process Equipment,Midstream,18433.960000000003,33111.514,-14677.554
2004,Biofuel,Raw Material,Upstream,602745.3715000002,132597.5055,470147.8660000003
2004,Biofuel,Processed Material,Midstream,511970.6951346156,304037.77374999993,207932.92138461565
2004,Biofuel,Final Product,Final Product,90604.63476831502,191.6901309523808,90412.94463736264
2004,Biofuel,Process Equipment,Downstream,617000.4369999999,273770.87799999997,343229.55899999995
2004,Biofuel,Process Equipment,Midstream,25613.880000000005,44068.93,-18455.049999999996
2005,Biofuel,Raw Material,Upstream,683852.0567499999,254494.43075,429357.6259999999
2005,Biofuel,Processed Material,Midstream,683765.4703653845,406634.75226923096,277130.7180961535
2005,Biofuel,Final Product,Final Product,148445.22192216117,203.1363937728936,148242.08552838827
2005,Biofuel,Process Equipment,Midstream,26527.565000000002,43581.973,-17054.407999999996
2005,Biofuel,Process Equipment,Downstream,736233.0040000001,341483.125,394749.8790000001
2006,Biofuel,Raw Material,Upstream,788678.8510000003,227354.58725000004,561324.2637500002
2006,Biofuel,Final Product,Final Product,179493.14583241756,188.0808809523808,179305.06495146517
2006,Biofuel,Processed Material,Midstream,1330494.7764807686,530144.3824999998,800350.3939807687
2006,Biofuel,Process Equipment,Downstream,817490.1250000001,393210.227,424279.8980000001
2006,Biofuel,Process Equipment,Midstream,37903.274000000005,81238.563,-43335.28899999999
2007,Biofuel,Raw Material,Upstream,1035543.5667499998,326672.57299999986,708870.9937499999
2007,Biofuel,Final Product,Final Product,123249.95526190478,5619.317602380951,117630.63765952383
2007,Biofuel,Processed Material,Midstream,1431424.2580000004,611365.3049999999,820058.9530000004
2007,Biofuel,Process Equipment,Downstream,887554.0499999996,533870.2869999999,353683.7629999997
2007,Biofuel,Process Equipment,Midstream,54864.825000000004,119871.546,-65006.721
2008,Biofuel,Raw Material,Upstream,1262288.0784999998,425971.79274999996,836316.2857499998
2008,Biofuel,Final Product,Final Product,138897.8700095238,5047.815516666666,133850.05449285713
2008,Biofuel,Processed Material,Midstream,1802333.7389999998,837272.412,965061.3269999998
2008,Biofuel,Process Equipment,Downstream,890785.2259999996,792833.9690000002,97951.2569999994
2008,Biofuel,Process Equipment,Midstream,74129.86300000003,132906.569,-58776.70599999996
2009,Biofuel,Raw Material,Upstream,606603.9072499998,188663.99924999994,417939.9079999999
2009,Biofuel,Final Product,Final Product,244260.25963095232,3850.851869047618,240409.4077619047
2009,Biofuel,Processed Material,Midstream,1463436.651999999,615906.4759999997,847530.1759999994
2009,Biofuel,Process Equipment,Midstream,37455.678,177679.63200000004,-140223.95400000003
2009,Biofuel,Process Equipment,Downstream,724445.3470000003,850643.985,-126198.63799999969
2010,Biofuel,Raw Material,Upstream,668735.2177500001,311351.60850000003,357383.60925000004
2010,Biofuel,Processed Material,Midstream,1991938.0920000009,951455.5399999999,1040482.552000001
2010,Biofuel,Process Equipment,Midstream,52636.55899999999,142584.49500000002,-89947.93600000005
2010,Biofuel,Process Equipment,Downstream,857362.9789999998,1360031.3590000006,-502668.3800000008
2010,Biofuel,Final Product,Final Product,115303.18614285708,32038.420619047618,83264.76552380947
2011,Biofuel,Raw Material,Upstream,906353.6245,450151.13725,456202.48725
2011,Biofuel,Final Product,Final Product,177257.13940476198,804760.5112142856,-627503.3718095237
2011,Biofuel,Processed Material,Midstream,2458644.677999999,1172475.7500000005,1286168.9279999984
2011,Biofuel,Process Equipment,Midstream,93372.80099999999,175285.479,-81912.678
2011,Biofuel,Process Equipment,Downstream,952501.4750000002,1358467.9810000001,-405966.50599999994
2012,Biofuel,Raw Material,Upstream,874273.8729999999,413167.56175,461106.3112499999
2012,Biofuel,Final Product,Final Product,74408.23283333333,426666.55500000005,-352258.32216666674
2012,Biofuel,Process Equipment,Downstream,1039073.3889999996,1453678.5690000001,-414605.1800000005
2012,Biofuel,Processed Material,Midstream,2373493.6459999993,1218973.045,1154520.6009999993
2012,Biofuel,Process Equipment,Midstream,49256.00499999999,139378.924,-90122.91900000001
2013,Biofuel,Raw Material,Upstream,812973.2357500001,317082.827,495890.4087500001
2013,Biofuel,Process Equipment,Downstream,743139.2610000003,1575967.8140000002,-832828.553
2013,Biofuel,Process Equipment,Midstream,36420.867999999995,164536.09,-128115.22200000001
2013,Biofuel,Processed Material,Midstream,2147315.3460000004,1334454.0189999999,812861.3270000005
2013,Biofuel,Final Product,Final Product,101801.36966666668,111312.74516666667,-9511.375499999995
2014,Biofuel,Raw Material,Upstream,794978.5107499998,366393.3635,428585.1472499998
2014,Biofuel,Final Product,Final Product,104285.50766666663,76535.48,27750.027666666632
2014,Biofuel,Process Equipment,Downstream,727365.3160000001,1297631.072,-570265.7559999998
2014,Biofuel,Process Equipment,Midstream,58346.604,211941.849,-153595.245
2014,Biofuel,Processed Material,Midstream,2682624.6059999997,1374969.364,1307655.2419999996
2015,Biofuel,Raw Material,Upstream,774274.7505,315746.62974999996,458528.12075
2015,Biofuel,Processed Material,Midstream,2911902.419999998,997166.5480000002,1914735.8719999979
2015,Biofuel,Process Equipment,Downstream,614970.5740000003,1010464.7119999994,-395494.1379999991
2015,Biofuel,Final Product,Final Product,222886.09966666668,82061.2795,140824.82016666667
2015,Biofuel,Process Equipment,Midstream,65582.06700000001,104387.07199999999,-38805.004999999976
2016,Biofuel,Raw Material,Upstream,696014.4995000003,263468.3865,432546.11300000024
2016,Biofuel,Final Product,Final Product,94149.57566666667,81299.98749999999,12849.588166666683
2016,Biofuel,Processed Material,Midstream,2570836.071000001,886043.737,1684792.334000001
2016,Biofuel,Process Equipment,Downstream,833153.1360000003,1054500.1140000003,-221346.978
2016,Biofuel,Process Equipment,Midstream,45745.79800000001,169054.98,-123309.182
2017,Biofuel,Raw Material,Upstream,571040.7620000003,361362.267,209678.49500000034
