year,tech,role,stage,exports,imports,balance
1995,Electrolyzers,Processed Material,Midstream,38795.453,134848.04799999998,-96052.59499999997
1995,Electrolyzers,Process Equipment,Downstream,24542.9185,512927.53750000003,-488384.61900000006
1995,Electrolyzers,Product Component,Downstream,117365.66299999997,224434.92500000005,-107069.26200000008
1995,Electrolyzers,Process Equipment,Midstream,833.7545,18270.4405,-17436.686
1995,Electrolyzers,Final Product,Final Product,1234.71,2818.4565,-1583.7464999999997
1995,Electrolyzers,Product Component,Midstream,3258.661,8147.393999999999,-4888.732999999999
1995,Electrolyzers,Raw Material,Upstream,3811.5109999999995,33814.993,-30003.482000000004
1996,Electrolyzers,Processed Material,Midstream,27860.699,100714.22199999998,-72853.52299999999
1996,Electrolyzers,Process Equipment,Downstream,6642.464500000001,311333.46100000007,-304690.99650000007
1996,Electrolyzers,Product Component,Downstream,87870.51699999999,231109.26000000004,-143238.74300000005
1996,Electrolyzers,Process Equipment,Midstream,242.1635,11823.868999999999,-11581.705499999998
1996,Electrolyzers,Final Product,Final Product,155.8385,4410.2665,-4254.428
1996,Electrolyzers,Product Component,Midstream,493.519,15321.163,-14827.644
1996,Electrolyzers,Raw Material,Upstream,124.706,2557.998,-2433.292
1997,Electrolyzers,Product Component,Downstream,111486.83200000002,382698.084,-271211.252
1997,Electrolyzers,Processed Material,Midstream,36819.079,158977.06199999998,-122157.98299999998
1997,Electrolyzers,Product Component,Midstream,3677.767,31458.371999999996,-27780.604999999996
1997,Electrolyzers,Process Equipment,Downstream,49822.622999999985,378966.8844999999,-329144.26149999996
1997,Electrolyzers,Process Equipment,Midstream,1748.1530000000002,25697.284499999998,-23949.131499999996
1997,Electrolyzers,Raw Material,Upstream,116.587,23019.159999999996,-22902.572999999997
1997,Electrolyzers,Final Product,Final Product,1126.1675,4603.801,-3477.6335000000004
1998,Electrolyzers,Product Component,Downstream,98106.21499999998,357046.39900000003,-258940.18400000007
1998,Electrolyzers,Processed Material,Midstream,56896.226,150893.84399999998,-93997.61799999999
1998,Electrolyzers,Product Component,Midstream,3152.5989999999997,30102.295000000002,-26949.696000000004
1998,Electrolyzers,Process Equipment,Downstream,27258.78000000001,328478.8954999998,-301220.1154999998
1998,Electrolyzers,Process Equipment,Midstream,2303.2749999999996,23795.215500000002,-21491.940500000004
1998,Electrolyzers,Final Product,Final Product,349.466,2780.3425,-2430.8765000000003
1998,Electrolyzers,Raw Material,Upstream,127.455,20353.439000000006,-20225.984000000004
1999,Electrolyzers,Product Component,Downstream,96838.14699999998,320693.515,-223855.36800000002
1999,Electrolyzers,Processed Material,Midstream,42693.22999999999,181286.53300000002,-138593.30300000004
1999,Electrolyzers,Product Component,Midstream,3803.0219999999995,29666.350000000006,-25863.328000000005
1999,Electrolyzers,Process Equipment,Downstream,14973.744499999999,320152.28799999994,-305178.54349999997
1999,Electrolyzers,Process Equipment,Midstream,1043.2075000000002,19608.852,-18565.6445
1999,Electrolyzers,Raw Material,Upstream,171.74,15576.439,-15404.699
1999,Electrolyzers,Final Product,Final Product,277.4795,924.1244999999999,-646.645
2000,Electrolyzers,Product Component,Downstream,104842.37099999993,330637.21699999995,-225794.84600000002
2000,Electrolyzers,Processed Material,Midstream,63452.03999999998,240126.52099999995,-176674.48099999997
2000,Electrolyzers,Product Component,Midstream,17258.624,33332.531,-16073.907000000003
2000,Electrolyzers,Process Equipment,Downstream,14629.9965,336163.48949999997,-321533.49299999996
2000,Electrolyzers,Process Equipment,Midstream,508.58149999999995,14924.5175,-14415.936
2000,Electrolyzers,Final Product,Final Product,176.705,1835.0614999999998,-1658.3564999999999
2000,Electrolyzers,Raw Material,Upstream,126,18322.29,-18196.29
2001,Electrolyzers,Product Component,Downstream,131262.26599999997,354907.45900000003,-223645.19300000006
2001,Electrolyzers,Processed Material,Midstream,61474.52400000002,286169.578,-224695.05399999995
2001,Electrolyzers,Product Component,Midstream,30693.914,24061.713999999996,6632.200000000004
2001,Electrolyzers,Process Equipment,Downstream,25810.2045,386613.85049999994,-360803.64599999995
2001,Electrolyzers,Process Equipment,Midstream,1754.5035,19552.569499999998,-17798.066
2001,Electrolyzers,Final Product,Final Product,738.8425,1336.2185,-597.376
2001,Electrolyzers,Raw Material,Upstream,0,19330.046,-19330.046
2002,Electrolyzers,Product Component,Downstream,122823.80999999998,360810.037,-237986.227
2002,Electrolyzers,Product Component,Midstream,22947.759000000002,19368.844,3578.915000000001
