year,tech,role,stage,exports,imports,balance
1995,Magnets,Raw Material,Upstream,181920.232,331957.892,-150037.66
1995,Magnets,Process Equipment,Downstream,34276.086,373369.0669999999,-339092.9809999999
1995,Magnets,Processed Material,Midstream,233373.685,15530.586,217843.099
1995,Magnets,Final Product,Final Product,4714.1925,3083.4655,1630.7270000000003
1995,Magnets,Product Component,Downstream,3669.6519999999996,1686.5135,1983.1384999999996
1996,Magnets,Raw Material,Upstream,211702.144,66660.91900000001,145041.22499999998
1996,Magnets,Process Equipment,Downstream,24841.971,344341.855,-319499.88399999996
1996,Magnets,Processed Material,Midstream,177023.727,9187.72,167836.007
1996,Magnets,Final Product,Final Product,2420.5429999999997,2724.9925,-304.44950000000017
1996,Magnets,Product Component,Downstream,1721.3745000000001,1020.087,701.2875000000001
1997,Magnets,Process Equipment,Downstream,47847.98200000001,853635.4270000003,-805787.4450000003
1997,Magnets,Raw Material,Upstream,133406.22900000002,285205.748,-151799.519
1997,Magnets,Processed Material,Midstream,301332.6170000001,12382.323,288950.2940000001
1997,Magnets,Product Component,Downstream,2549.3575,4082.7055,-1533.348
1997,Magnets,Final Product,Final Product,2608.385,9284.674500000001,-6676.289500000001
1998,Magnets,Raw Material,Upstream,119719.07199999997,174244.60899999997,-54525.537
1998,Magnets,Process Equipment,Downstream,32893.875,664576.5250000001,-631682.6500000001
1998,Magnets,Processed Material,Midstream,402028.5429999998,9330.989000000001,392697.55399999977
1998,Magnets,Product Component,Downstream,1395.486,3847.0149999999994,-2451.5289999999995
1998,Magnets,Final Product,Final Product,1782.0565000000001,7038.414500000001,-5256.358
1999,Magnets,Process Equipment,Downstream,27194.934000000005,575123.9029999999,-547928.9689999999
1999,Magnets,Raw Material,Upstream,117262.68400000001,231866.00700000004,-114603.32300000003
1999,Magnets,Processed Material,Midstream,488327.57500000007,5111.8139999999985,483215.76100000006
1999,Magnets,Product Component,Downstream,1248.915,3144.6825,-1895.7675
1999,Magnets,Final Product,Final Product,1507.157,6239.604,-4732.447
2000,Magnets,Process Equipment,Downstream,34685.59399999998,528075.7279999999,-493390.1339999999
2000,Magnets,Raw Material,Upstream,132495.199,269407.69700000004,-136912.49800000005
2000,Magnets,Processed Material,Midstream,579919.3800000001,8485.617,571433.7630000002
2000,Magnets,Product Component,Downstream,1823.833,3116.897,-1293.0639999999999
2000,Magnets,Final Product,Final Product,1823.833,5850.375999999999,-4026.542999999999
2001,Magnets,Process Equipment,Downstream,52991.85600000001,494923.7130000001,-441931.8570000001
2001,Magnets,Raw Material,Upstream,125444.044,222376.748,-96932.704
2001,Magnets,Processed Material,Midstream,552919.7309999998,12190.543,540729.1879999998
2001,Magnets,Product Component,Downstream,1333.4425,2452.2715000000003,-1118.8290000000002
2001,Magnets,Final Product,Final Product,1703.1415000000002,5228.133499999999,-3524.991999999999
2002,Magnets,Process Equipment,Downstream,46094.998999999996,319809.528,-273714.529
2002,Magnets,Raw Material,Upstream,115722.974,194703.22100000002,-78980.24700000002
