year,tech,role,stage,exports,imports,balance
1995,Nuclear,Raw Material,Upstream,3329000.6879999996,362759.3190000001,2966241.3689999995
1995,Nuclear,Product Component,Downstream,8377.646,47381.10800000001,-39003.46200000001
1995,Nuclear,Processed Material,Midstream,37219.27300000001,24349.946000000004,12869.327000000005
1995,Nuclear,Process Equipment,Midstream,11539.824,71360.932,-59821.108
1995,Nuclear,Final Product,Final Product,215.307,4105.389,-3890.0820000000003
1995,Nuclear,Process Equipment,Downstream,1031.258,31945.934999999998,-30914.676999999996
1995,Nuclear,Processed Material,Upstream,0,6420.487999999999,-6420.487999999999
1996,Nuclear,Raw Material,Upstream,3365816.1249999986,75957.19,3289858.9349999987
1996,Nuclear,Product Component,Downstream,9404.185999999998,19876.792,-10472.606000000003
1996,Nuclear,Processed Material,Midstream,54559.16900000001,6759.579,47799.59000000001
1996,Nuclear,Process Equipment,Midstream,9249.053000000002,41784.693,-32535.64
1996,Nuclear,Final Product,Final Product,671.618,0,671.618
1996,Nuclear,Process Equipment,Downstream,3677.663,23170.945,-19493.282
1996,Nuclear,Processed Material,Upstream,0,5548.25,-5548.25
1997,Nuclear,Process Equipment,Midstream,21439.255999999998,185944.97599999997,-164505.71999999997
1997,Nuclear,Raw Material,Upstream,3466202.3690000004,333851.80499999993,3132350.5640000002
1997,Nuclear,Product Component,Downstream,11102.415999999997,57517.22500000002,-46414.80900000002
1997,Nuclear,Processed Material,Midstream,35109.17600000001,27060.238999999998,8048.937000000009
1997,Nuclear,Process Equipment,Downstream,2614.511,73316.72699999998,-70702.21599999999
1997,Nuclear,Processed Material,Upstream,0,8937.493,-8937.493
1997,Nuclear,Final Product,Final Product,0,987.351,-987.351
1998,Nuclear,Processed Material,Midstream,20462.064000000002,19420.62,1041.4440000000031
1998,Nuclear,Raw Material,Upstream,3735834.1609999985,197952.66799999998,3537881.4929999984
1998,Nuclear,Product Component,Downstream,7884.731000000001,111402.56800000001,-103517.83700000001
1998,Nuclear,Process Equipment,Midstream,13614.565,110736.66799999999,-97122.10299999999
1998,Nuclear,Process Equipment,Downstream,3727.322,20829.694,-17102.372
1998,Nuclear,Processed Material,Upstream,0,8960.761999999999,-8960.761999999999
1998,Nuclear,Final Product,Final Product,0,1388.865,-1388.865
1999,Nuclear,Raw Material,Upstream,3240295.1990000005,255064.833,2985230.3660000004
1999,Nuclear,Product Component,Downstream,5869.572999999999,90927.01450000003,-85057.44150000003
1999,Nuclear,Processed Material,Midstream,8393.752,11561.78,-3168.0280000000002
1999,Nuclear,Process Equipment,Midstream,25658.079999999998,78250.17899999999,-52592.09899999999
1999,Nuclear,Process Equipment,Downstream,1347.515,34494.618,-33147.103
1999,Nuclear,Processed Material,Upstream,0,8673.527,-8673.527
1999,Nuclear,Final Product,Final Product,0,218.1805,-218.1805
2000,Nuclear,Raw Material,Upstream,3785953.7179999994,297536.26700000005,3488417.4509999994
2000,Nuclear,Product Component,Downstream,8960.121,27504.698,-18544.577
2000,Nuclear,Processed Material,Midstream,40049.471999999994,20188.105000000003,19861.36699999999
2000,Nuclear,Process Equipment,Midstream,12910.605,56234.078,-43323.473
2000,Nuclear,Process Equipment,Downstream,609.382,10208.033,-9598.651
2000,Nuclear,Processed Material,Upstream,0,9575.48,-9575.48
2000,Nuclear,Final Product,Final Product,0,139.822,-139.822
2001,Nuclear,Raw Material,Upstream,3693382.9420000003,243799.376,3449583.566
2001,Nuclear,Product Component,Downstream,13085.045,52538.52550000001,-39453.48050000001
2001,Nuclear,Processed Material,Midstream,16643.694,18488.083,-1844.3889999999992
2001,Nuclear,Process Equipment,Midstream,9427.971,54938.191000000006,-45510.22000000001
2001,Nuclear,Final Product,Final Product,4705,248.7295,4456.2705
2001,Nuclear,Process Equipment,Downstream,1798.874,14636.980999999998,-12838.106999999998
2001,Nuclear,Processed Material,Upstream,0,8598.152,-8598.152
2002,Nuclear,Process Equipment,Midstream,8284.713,91639.634,-83354.921
2002,Nuclear,Raw Material,Upstream,3662716.1180000007,217513.62500000006,3445202.4930000007
2002,Nuclear,Product Component,Downstream,10924.008000000002,79197.86450000003,-68273.85650000002
2002,Nuclear,Processed Material,Midstream,19667.634000000002,19169.410999999996,498.2230000000054
2002,Nuclear,Process Equipment,Downstream,285.599,17478.748,-17193.149
2002,Nuclear,Processed Material,Upstream,0,10697.077000000001,-10697.077000000001
2002,Nuclear,Final Product,Final Product,0,707.0625,-707.0625
2003,Nuclear,Processed Material,Midstream,30695.547000000006,27917.795,2777.7520000000077
2003,Nuclear,Raw Material,Upstream,4251161.754,254695.21000000002,3996466.5439999998
2003,Nuclear,Product Component,Downstream,15179.166,61981.15499999999,-46801.988999999994
2003,Nuclear,Process Equipment,Midstream,31372.370999999996,70252.96800000002,-38880.59700000002
2003,Nuclear,Process Equipment,Downstream,1082.699,8532.327,-7449.627999999999
2003,Nuclear,Processed Material,Upstream,0,12062.132,-12062.132
2004,Nuclear,Raw Material,Upstream,6544975.223999999,535940.825,6009034.398999999
2004,Nuclear,Processed Material,Midstream,67655.14600000001,46779.795,20875.35100000001
2004,Nuclear,Process Equipment,Midstream,18539.709000000003,70701.438,-52161.72899999999
2004,Nuclear,Product Component,Downstream,27842.088000000003,79122.51299999998,-51280.424999999974
2004,Nuclear,Process Equipment,Downstream,1257.219,18362.042,-17104.823
2004,Nuclear,Processed Material,Upstream,0,12225.609,-12225.609
2004,Nuclear,Final Product,Final Product,0,788.929,-788.929
2005,Nuclear,Process Equipment,Midstream,31023.626999999997,94493.938,-63470.311
2005,Nuclear,Raw Material,Upstream,9804461.467,515954.599,9288506.868
2005,Nuclear,Product Component,Downstream,42852.833999999995,101379.93000000001,-58527.09600000001
2005,Nuclear,Processed Material,Midstream,106218.38999999998,77253.462,28964.927999999985
2005,Nuclear,Process Equipment,Downstream,2530.184,18270.413,-15740.229
2005,Nuclear,Processed Material,Upstream,0,12889.657000000001,-12889.657000000001
