year,country_iso3,tech,role,stage,exports,imports,balance,country_name
1995,BRA,Batteries,Raw Material,Upstream,3496551.9439999997,352936.52700000006,3143615.4169999994,Brazil
1995,BRA,Batteries,Processed Material,Midstream,215442.58200000005,445080.596,-229638.01399999997,Brazil
1995,BRA,Batteries,Product Component,Midstream,52058.64766666668,47309.46800000001,4749.1796666666705,Brazil
1995,BRA,Batteries,Process Equipment,Downstream,70126.0668333333,806798.9056666655,-736672.8388333322,Brazil
1995,BRA,Batteries,Process Equipment,Midstream,8734.60416666667,98619.03333333331,-89884.42916666664,Brazil
1995,BRA,Batteries,Product Component,Downstream,689.8743333333333,3006.129,-2316.2546666666667,Brazil
1995,BRA,Batteries,Final Product,Final Product,53.9955,4294.5725,-4240.577,Brazil
1995,BRA,Biofuel,Raw Material,Upstream,250209.34600000005,52577.2,197632.14600000007,Brazil
1995,BRA,Biofuel,Process Equipment,Downstream,423033.678,262020.32100000008,161013.35699999993,Brazil
1995,BRA,Biofuel,Processed Material,Midstream,114591.58600000004,493441.15300000005,-378849.56700000004,Brazil
1995,BRA,Biofuel,Process Equipment,Midstream,9583.721000000001,46545.049,-36961.327999999994,Brazil
1995,BRA,Biofuel,Final Product,Final Product,2002.7109999999998,463687.754,-461685.043,Brazil
1995,BRA,Electrolyzers,Processed Material,Midstream,38795.453,134848.04799999998,-96052.59499999997,Brazil
1995,BRA,Electrolyzers,Process Equipment,Downstream,24542.9185,512927.53750000003,-488384.61900000006,Brazil
1995,BRA,Electrolyzers,Product Component,Downstream,117365.66299999997,224434.92500000005,-107069.26200000008,Brazil
1995,BRA,Electrolyzers,Process Equipment,Midstream,833.7545,18270.4405,-17436.686,Brazil
1995,BRA,Electrolyzers,Final Product,Final Product,1234.71,2818.4565,-1583.7464999999997,Brazil
1995,BRA,Electrolyzers,Product Component,Midstream,3258.661,8147.393999999999,-4888.732999999999,Brazil
1995,BRA,Electrolyzers,Raw Material,Upstream,3811.5109999999995,33814.993,-30003.482000000004,Brazil
1995,BRA,Geothermal,Raw Material,Upstream,3451701.3730000006,414566.122,3037135.2510000006,Brazil
1995,BRA,Geothermal,Processed Material,Midstream,81347.31500000002,61502.8965,19844.418500000014,Brazil
1995,BRA,Geothermal,Product Component,Midstream,137607.951,364054.61783333326,-226446.66683333326,Brazil
1995,BRA,Geothermal,Product Component,Downstream,44552.058,115116.90300000002,-70564.84500000003,Brazil
1995,BRA,Geothermal,Process Equipment,Downstream,58123.591,196691.02833333326,-138567.43733333325,Brazil
1995,BRA,Geothermal,Process Equipment,Midstream,15146.193999999998,112448.43033333332,-97302.23633333332,Brazil
1995,BRA,Geothermal,Final Product,Final Product,4993.304000000001,53704.523,-48711.219,Brazil
1995,BRA,Heat Pumps,Product Component,Downstream,456107.6200000001,218181.70749999996,237925.91250000015,Brazil
1995,BRA,Heat Pumps,Raw Material,Upstream,142380.824,340342.039,-197961.215,Brazil
1995,BRA,Heat Pumps,Processed Material,Midstream,136510.96899999998,138254.718,-1743.7490000000107,Brazil
1995,BRA,Heat Pumps,Product Component,Midstream,15004.745,143540.49850000005,-128535.75350000005,Brazil
1995,BRA,Heat Pumps,Process Equipment,Midstream,2265.8190000000004,5317.782999999999,-3051.963999999999,Brazil
1995,BRA,Heat Pumps,Final Product,Final Product,9683.233999999999,14558.807,-4875.573000000002,Brazil
1995,BRA,Heat Pumps,Process Equipment,Downstream,1799.019,168403.30199999997,-166604.28299999997,Brazil
1995,BRA,Magnets,Raw Material,Upstream,181920.232,331957.892,-150037.66,Brazil
1995,BRA,Magnets,Process Equipment,Downstream,34276.086,373369.0669999999,-339092.9809999999,Brazil
1995,BRA,Magnets,Processed Material,Midstream,233373.685,15530.586,217843.099,Brazil
1995,BRA,Magnets,Final Product,Final Product,4714.1925,3083.4655,1630.7270000000003,Brazil
1995,BRA,Magnets,Product Component,Downstream,3669.6519999999996,1686.5135,1983.1384999999996,Brazil
1995,BRA,Nuclear,Raw Material,Upstream,3329000.6879999996,362759.3190000001,2966241.3689999995,Brazil
1995,BRA,Nuclear,Product Component,Downstream,8377.646,47381.10800000001,-39003.46200000001,Brazil
1995,BRA,Nuclear,Processed Material,Midstream,37219.27300000001,24349.946000000004,12869.327000000005,Brazil
1995,BRA,Nuclear,Process Equipment,Midstream,11539.824,71360.932,-59821.108,Brazil
1995,BRA,Nuclear,Final Product,Final Product,215.307,4105.389,-3890.0820000000003,Brazil
1995,BRA,Nuclear,Process Equipment,Downstream,1031.258,31945.934999999998,-30914.676999999996,Brazil
1995,BRA,Nuclear,Processed Material,Upstream,0,6420.487999999999,-6420.487999999999,Brazil
1995,BRA,Solar,Processed Material,Midstream,304642.5925000001,300385.42149999994,4257.171000000148,Brazil
1995,BRA,Solar,Raw Material,Upstream,143245.68499999997,332917.144,-189671.459,Brazil
1995,BRA,Solar,Product Component,Downstream,76917.5825,64895.929500000006,12021.652999999998,Brazil
1995,BRA,Solar,Process Equipment,Midstream,10027.193,55787.41600000001,-45760.22300000001,Brazil
1995,BRA,Solar,Process Equipment,Downstream,25661.95299999999,313270.5739999999,-287608.6209999999,Brazil
1995,BRA,Solar,Product Component,Midstream,375.19399999999996,3963.174,-3587.98,Brazil
1995,BRA,Transmission,Raw Material,Upstream,3367921.6579999994,330478.99700000003,3037442.6609999994,Brazil
1995,BRA,Transmission,Processed Material,Midstream,91898.44700000001,205032.07500000004,-113133.62800000003,Brazil
1995,BRA,Transmission,Process Equipment,Midstream,22086.731000000003,30450.135000000002,-8363.403999999999,Brazil
1995,BRA,Transmission,Process Equipment,Downstream,50185.211999999985,499971.064,-449785.852,Brazil
1995,BRA,Transmission,Final Product,Final Product,21832.825,102511.88199999994,-80679.05699999994,Brazil
1995,BRA,Transmission,Product Component,Downstream,15237.317,28643.354000000007,-13406.037000000008,Brazil
1995,BRA,Wind,Processed Material,Midstream,2073771.3185000003,767576.8084999999,1306194.5100000002,Brazil
1995,BRA,Wind,Product Component,Midstream,408253.81850000017,1001805.5965000002,-593551.778,Brazil
1995,BRA,Wind,Raw Material,Upstream,219057.75500000003,412156.05,-193098.29499999995,Brazil
1995,BRA,Wind,Product Component,Downstream,238915.67900000006,675549.269,-436633.5899999999,Brazil
1995,BRA,Wind,Process Equipment,Downstream,16476.3445,114503.29049999997,-98026.94599999997,Brazil
1995,BRA,Wind,Process Equipment,Midstream,3149.2485,302862.61950000003,-299713.37100000004,Brazil
1996,BRA,Batteries,Raw Material,Upstream,3534276.3189999987,74754.49600000001,3459521.822999999,Brazil
1996,BRA,Batteries,Processed Material,Midstream,186034.93899999993,214003.66699999996,-27968.728000000032,Brazil
1996,BRA,Batteries,Product Component,Midstream,50193.95733333335,141129.25033333336,-90935.293,Brazil
1996,BRA,Batteries,Process Equipment,Downstream,49784.841333333214,771101.7498333333,-721316.9085000001,Brazil
1996,BRA,Batteries,Process Equipment,Midstream,9153.473666666667,59150.536166666665,-49997.0625,Brazil
1996,BRA,Batteries,Product Component,Downstream,234.81966666666665,2237.0036666666665,-2002.1839999999997,Brazil
1996,BRA,Batteries,Final Product,Final Product,0,1880.4650000000001,-1880.4650000000001,Brazil
1996,BRA,Biofuel,Raw Material,Upstream,272502.607,5420.017,267082.59,Brazil
1996,BRA,Biofuel,Processed Material,Midstream,110579.94000000003,115346.99999999997,-4767.0599999999395,Brazil
1996,BRA,Biofuel,Process Equipment,Downstream,339701.58200000005,251879.42700000003,87822.15500000003,Brazil
1996,BRA,Biofuel,Process Equipment,Midstream,24230.133,26635.302999999996,-2405.1699999999946,Brazil
1996,BRA,Biofuel,Final Product,Final Product,5856.871999999999,68878.879,-63022.007,Brazil
1996,BRA,Electrolyzers,Processed Material,Midstream,27860.699,100714.22199999998,-72853.52299999999,Brazil
1996,BRA,Electrolyzers,Process Equipment,Downstream,6642.464500000001,311333.46100000007,-304690.99650000007,Brazil
1996,BRA,Electrolyzers,Product Component,Downstream,87870.51699999999,231109.26000000004,-143238.74300000005,Brazil
1996,BRA,Electrolyzers,Process Equipment,Midstream,242.1635,11823.868999999999,-11581.705499999998,Brazil
1996,BRA,Electrolyzers,Final Product,Final Product,155.8385,4410.2665,-4254.428,Brazil
1996,BRA,Electrolyzers,Product Component,Midstream,493.519,15321.163,-14827.644,Brazil
1996,BRA,Electrolyzers,Raw Material,Upstream,124.706,2557.998,-2433.292,Brazil
1996,BRA,Geothermal,Raw Material,Upstream,3497486.0849999995,109907.153,3387578.9319999996,Brazil
1996,BRA,Geothermal,Product Component,Midstream,117527.84083333332,245360.6188333333,-127832.77799999999,Brazil
1996,BRA,Geothermal,Product Component,Downstream,32510.135,255338.64999999997,-222828.51499999996,Brazil
1996,BRA,Geothermal,Processed Material,Midstream,115603.07149999999,28846.086499999998,86756.98499999999,Brazil
1996,BRA,Geothermal,Final Product,Final Product,17323.696000000004,58466.387,-41142.691,Brazil
1996,BRA,Geothermal,Process Equipment,Midstream,10760.372833333331,94823.77283333334,-84063.40000000001,Brazil
1996,BRA,Geothermal,Process Equipment,Downstream,60202.898833333325,169929.32683333338,-109726.42800000006,Brazil
1996,BRA,Heat Pumps,Product Component,Midstream,24782.371,90401.55549999999,-65619.18449999999,Brazil
1996,BRA,Heat Pumps,Raw Material,Upstream,153002.9,68229.486,84773.41399999999,Brazil
1996,BRA,Heat Pumps,Processed Material,Midstream,100591.95700000001,11900.181999999999,88691.77500000001,Brazil
1996,BRA,Heat Pumps,Process Equipment,Midstream,974.265,4807.019999999999,-3832.7549999999987,Brazil
1996,BRA,Heat Pumps,Product Component,Downstream,357419.078,261644.39450000002,95774.68349999996,Brazil
1996,BRA,Heat Pumps,Final Product,Final Product,8766.807999999999,10082.858,-1316.050000000001,Brazil
1996,BRA,Heat Pumps,Process Equipment,Downstream,624.394,80769.69499999999,-80145.30099999999,Brazil
1996,BRA,Magnets,Raw Material,Upstream,211702.144,66660.91900000001,145041.22499999998,Brazil
1996,BRA,Magnets,Process Equipment,Downstream,24841.971,344341.855,-319499.88399999996,Brazil
1996,BRA,Magnets,Processed Material,Midstream,177023.727,9187.72,167836.007,Brazil
1996,BRA,Magnets,Final Product,Final Product,2420.5429999999997,2724.9925,-304.44950000000017,Brazil
1996,BRA,Magnets,Product Component,Downstream,1721.3745000000001,1020.087,701.2875000000001,Brazil
1996,BRA,Nuclear,Raw Material,Upstream,3365816.1249999986,75957.19,3289858.9349999987,Brazil
1996,BRA,Nuclear,Product Component,Downstream,9404.185999999998,19876.792,-10472.606000000003,Brazil
1996,BRA,Nuclear,Processed Material,Midstream,54559.16900000001,6759.579,47799.59000000001,Brazil
1996,BRA,Nuclear,Process Equipment,Midstream,9249.053000000002,41784.693,-32535.64,Brazil
1996,BRA,Nuclear,Final Product,Final Product,671.618,0,671.618,Brazil
