tech,role,stage,region,n_firms,median_fixed_assets_kusd
Batteries,Final Product,Final Product,Parana,1,16631.86653300484
Batteries,Final Product,Final Product,Pernambuco,1,2189015.8889436666
Batteries,Process Equipment,Downstream,Amazonas,2,2829.4633045992105
Batteries,Process Equipment,Downstream,Ceara,1,19491.4539188208
Batteries,Process Equipment,Downstream,Federal district,2,12532.594164799531
Batteries,Process Equipment,Downstream,Minas Gerais,16,21688.267720578697
Batteries,Process Equipment,Downstream,Parana,19,8792.12075615685
Batteries,Process Equipment,Downstream,Rio Grande do Sul,10,93043.87044966329
Batteries,Process Equipment,Downstream,Rio de Janeiro,5,9578.029178655874
Batteries,Process Equipment,Downstream,Santa Catarina,15,13546.6878713874
Batteries,Process Equipment,Downstream,Sao Paulo,61,14089.443334247226
Batteries,Process Equipment,Midstream,Amazonas,1,171.46559818431
Batteries,Process Equipment,Midstream,Ceara,1,19491.4539188208
Batteries,Process Equipment,Midstream,Minas Gerais,7,33210.663743726574
Batteries,Process Equipment,Midstream,Parana,11,3431.91421764943
Batteries,Process Equipment,Midstream,Rio Grande do Sul,4,111625.77198505687
Batteries,Process Equipment,Midstream,Rio de Janeiro,2,25102.061981803385
Batteries,Process Equipment,Midstream,Santa Catarina,13,13546.6878713874
Batteries,Process Equipment,Midstream,Sao Paulo,35,18464.8802402264
Batteries,Processed Material,Midstream,Bahia,2,273492.1662833819
Batteries,Processed Material,Midstream,Ceara,5,43488.28729621518
Batteries,Processed Material,Midstream,Espirito Santo,1,42314.16653844383
Batteries,Processed Material,Midstream,Maranhao,1,9713.28411023953
Batteries,Processed Material,Midstream,Minas Gerais,11,107273.64851263458
Batteries,Processed Material,Midstream,Para,2,7465508.257204284
Batteries,Processed Material,Midstream,Paraiba,1,17258.581340611323
Batteries,Processed Material,Midstream,Parana,6,27257.10437793599
Batteries,Processed Material,Midstream,Pernambuco,1,24982.26043633858
Batteries,Processed Material,Midstream,Rio Grande do Norte,1,42970.748329591726
Batteries,Processed Material,Midstream,Rio Grande do Sul,3,16290.36820203258
Batteries,Processed Material,Midstream,Rio de Janeiro,2,407488.69198715605
Batteries,Processed Material,Midstream,Rondonia,1,22264.001986365423
Batteries,Processed Material,Midstream,Santa Catarina,2,51412.60495610305
Batteries,Processed Material,Midstream,Sao Paulo,19,114546.405315199
Batteries,Processed Material,Midstream,Tocantins,1,2378.338987849475
Batteries,Product Component,Downstream,Parana,1,16631.86653300484
Batteries,Product Component,Downstream,Pernambuco,1,2189015.8889436666
Batteries,Product Component,Midstream,Alagoas,1,14173.36648761502
Batteries,Product Component,Midstream,Amazonas,9,14988.5850448815
Batteries,Product Component,Midstream,Bahia,9,94667.3073445951
Batteries,Product Component,Midstream,Ceara,4,6448.712825888129
Batteries,Product Component,Midstream,Federal district,1,7740.786205206736
Batteries,Product Component,Midstream,Goias,3,5852.233326738885
Batteries,Product Component,Midstream,Maranhao,1,9713.28411023953
Batteries,Product Component,Midstream,Minas Gerais,14,51647.17302233113
Batteries,Product Component,Midstream,Para,4,1562925.5995892328
Batteries,Product Component,Midstream,Parana,15,32270.92413115232
Batteries,Product Component,Midstream,Pernambuco,6,299213.7597798399
Batteries,Product Component,Midstream,Rio Grande do Norte,1,27331.733009957876
Batteries,Product Component,Midstream,Rio Grande do Sul,20,69765.67236727221
Batteries,Product Component,Midstream,Rio de Janeiro,24,63562.43761049455
Batteries,Product Component,Midstream,Santa Catarina,13,31197.801926368847
Batteries,Product Component,Midstream,Sao Paulo,64,61935.17625541316
Batteries,Product Component,Midstream,Sergipe,1,2838.19915961275
Batteries,Product Component,Midstream,NA,2,600081.0220705541
Batteries,Raw Material,Upstream,Bahia,6,515332.6153353444
Batteries,Raw Material,Upstream,Goias,1,74648.4086196589
Batteries,Raw Material,Upstream,Minas Gerais,2,127939.59470533315
Batteries,Raw Material,Upstream,Parana,1,57757.8640415887
Batteries,Raw Material,Upstream,Pernambuco,1,2151740.257099438
Batteries,Raw Material,Upstream,Rio Grande do Sul,2,411384.1850281502
Batteries,Raw Material,Upstream,Rio de Janeiro,3,6548.094878660086
Batteries,Raw Material,Upstream,Santa Catarina,1,17211.3079437255
Batteries,Raw Material,Upstream,Sao Paulo,22,88104.8805062955
Batteries,Raw Material,Upstream,NA,1,18818483.680936
Biofuel,Final Product,Final Product,Amazonas,4,15103.22663957566
Biofuel,Final Product,Final Product,Bahia,13,155373.4845719265
Biofuel,Final Product,Final Product,Ceara,2,12954.869677364424
Biofuel,Final Product,Final Product,Federal district,1,7740.786205206736
Biofuel,Final Product,Final Product,Goias,3,6530.939590152853
Biofuel,Final Product,Final Product,Minas Gerais,1,15316.2645679773
Biofuel,Final Product,Final Product,Para,2,14280.120918631623
Biofuel,Final Product,Final Product,Parana,5,37832.4955535631
Biofuel,Final Product,Final Product,Pernambuco,4,763028.6300177139
Biofuel,Final Product,Final Product,Rio Grande do Norte,1,27331.733009957876
Biofuel,Final Product,Final Product,Rio Grande do Sul,4,411384.1850281502
Biofuel,Final Product,Final Product,Rio de Janeiro,9,172192.3433747838
Biofuel,Final Product,Final Product,Santa Catarina,4,48604.307782073774
Biofuel,Final Product,Final Product,Sao Paulo,41,121077.50748853033
Biofuel,Final Product,Final Product,NA,3,1186304.40214526
Biofuel,Process Equipment,Downstream,Amazonas,3,16106.597955909176
Biofuel,Process Equipment,Downstream,Ceara,1,7413.401022995626
Biofuel,Process Equipment,Downstream,Minas Gerais,7,22457.82225889142
Biofuel,Process Equipment,Downstream,Parana,10,15723.692574148015
Biofuel,Process Equipment,Downstream,Pernambuco,1,91587.19213744777
Biofuel,Process Equipment,Downstream,Rio Grande do Sul,6,27509.647382353
Biofuel,Process Equipment,Downstream,Rio de Janeiro,3,6773.97303981107
Biofuel,Process Equipment,Downstream,Santa Catarina,10,12628.151701743489
Biofuel,Process Equipment,Downstream,Sao Paulo,29,11202.57320628615
Biofuel,Process Equipment,Midstream,Ceara,1,19491.4539188208
Biofuel,Process Equipment,Midstream,Minas Gerais,1,52380.2215832067
Biofuel,Process Equipment,Midstream,Parana,6,6021.282464104269
Biofuel,Process Equipment,Midstream,Rio Grande do Sul,4,127767.35682297985
Biofuel,Process Equipment,Midstream,Rio de Janeiro,2,22100.853757693396
Biofuel,Process Equipment,Midstream,Santa Catarina,10,21261.288727423627
Biofuel,Process Equipment,Midstream,Sao Paulo,20,14384.387317442895
Biofuel,Processed Material,Midstream,Amazonas,4,15103.22663957566
Biofuel,Processed Material,Midstream,Bahia,14,229654.70631270856
Biofuel,Processed Material,Midstream,Ceara,3,910.8314860803475
Biofuel,Processed Material,Midstream,Federal district,1,7740.786205206736
Biofuel,Processed Material,Midstream,Goias,3,6530.939590152853
Biofuel,Processed Material,Midstream,Maranhao,1,9713.28411023953
Biofuel,Processed Material,Midstream,Minas Gerais,8,156869.55644176446
Biofuel,Processed Material,Midstream,Para,4,1562925.5995892328
Biofuel,Processed Material,Midstream,Parana,7,37832.4955535631
Biofuel,Processed Material,Midstream,Pernambuco,4,763028.6300177139
Biofuel,Processed Material,Midstream,Rio Grande do Norte,1,27331.733009957876
Biofuel,Processed Material,Midstream,Rio Grande do Sul,5,128253.41451588839
Biofuel,Processed Material,Midstream,Rio de Janeiro,11,172192.3433747838
Biofuel,Processed Material,Midstream,Rondonia,1,22264.001986365423
Biofuel,Processed Material,Midstream,Santa Catarina,6,20516.38579556218
Biofuel,Processed Material,Midstream,Sao Paulo,55,114546.405315199
Biofuel,Processed Material,Midstream,NA,3,1186304.40214526
Biofuel,Raw Material,Midstream,Ceara,1,363093.17279484123
Biofuel,Raw Material,Midstream,Minas Gerais,1,219667.98338923822
Biofuel,Raw Material,Midstream,Parana,1,35363.60660599823
Biofuel,Raw Material,Midstream,Pernambuco,1,228117.46045817
Biofuel,Raw Material,Midstream,Rio Grande do Sul,1,63413.547838234685
Biofuel,Raw Material,Midstream,Rio de Janeiro,1,558595.595783708
Biofuel,Raw Material,Upstream,Amapa,1,1086795.592213186
Biofuel,Raw Material,Upstream,Bahia,4,58784.12280115242
Biofuel,Raw Material,Upstream,Goias,2,1388929.2861123472
Biofuel,Raw Material,Upstream,Mato Grosso,6,84747.48943718107
Biofuel,Raw Material,Upstream,Mato Grosso do Sul,1,55312.61965207104
Biofuel,Raw Material,Upstream,Para,9,18844.1395260632
Biofuel,Raw Material,Upstream,Paraiba,1,2091.81801111849
Biofuel,Raw Material,Upstream,Parana,7,18849.0377233499
Biofuel,Raw Material,Upstream,Piaui,1,56149.30135726772
Biofuel,Raw Material,Upstream,Rio Grande do Sul,6,748309.890948954
Biofuel,Raw Material,Upstream,Rondonia,1,25017.2714453393
Biofuel,Raw Material,Upstream,Santa Catarina,3,2147288.61150422
Biofuel,Raw Material,Upstream,Sao Paulo,9,1188452.6980555675
Biofuel,Raw Material,Upstream,NA,2,271418.9519901365
Electrolyzers,Final Product,Final Product,Rio de Janeiro,1,125710.8041339366
Electrolyzers,Final Product,Final Product,Sao Paulo,6,97639.1864318353
Electrolyzers,Process Equipment,Downstream,Amazonas,2,2829.4633045992105
Electrolyzers,Process Equipment,Downstream,Ceara,1,19491.4539188208
Electrolyzers,Process Equipment,Downstream,Federal district,1,21945.7746891278
Electrolyzers,Process Equipment,Downstream,Minas Gerais,11,22457.82225889142
Electrolyzers,Process Equipment,Downstream,Parana,15,5259.77840597317
Electrolyzers,Process Equipment,Downstream,Rio Grande do Sul,10,83455.62521058792
Electrolyzers,Process Equipment,Downstream,Rio de Janeiro,4,9903.021029736386
Electrolyzers,Process Equipment,Downstream,Santa Catarina,13,13546.6878713874
Electrolyzers,Process Equipment,Downstream,Sao Paulo,51,23634.8092335266
Electrolyzers,Process Equipment,Midstream,Ceara,1,19491.4539188208
Electrolyzers,Process Equipment,Midstream,Minas Gerais,1,52380.2215832067
Electrolyzers,Process Equipment,Midstream,Parana,5,5259.77840597317
Electrolyzers,Process Equipment,Midstream,Rio Grande do Sul,3,216320.960943523
Electrolyzers,Process Equipment,Midstream,Rio de Janeiro,1,43430.1509237957
Electrolyzers,Process Equipment,Midstream,Santa Catarina,7,19661.258643382676
Electrolyzers,Process Equipment,Midstream,Sao Paulo,15,18464.8802402264
Electrolyzers,Processed Material,Midstream,Bahia,2,273492.1662833819
Electrolyzers,Processed Material,Midstream,Minas Gerais,4,127939.59470533315
Electrolyzers,Processed Material,Midstream,Rio Grande do Sul,1,93805.82775882956
Electrolyzers,Processed Material,Midstream,Rio de Janeiro,2,407488.69198715605
Electrolyzers,Processed Material,Midstream,Rondonia,1,22264.001986365423
Electrolyzers,Processed Material,Midstream,Santa Catarina,1,17211.3079437255
Electrolyzers,Processed Material,Midstream,Sao Paulo,11,114546.405315199
Electrolyzers,Product Component,Downstream,Amazonas,3,16106.597955909176
Electrolyzers,Product Component,Downstream,Bahia,1,243048.40451327324
Electrolyzers,Product Component,Downstream,Ceara,1,7413.401022995626
Electrolyzers,Product Component,Downstream,Minas Gerais,7,22457.82225889142
Electrolyzers,Product Component,Downstream,Parana,10,15723.692574148015
Electrolyzers,Product Component,Downstream,Pernambuco,1,91587.19213744777
Electrolyzers,Product Component,Downstream,Rio Grande do Sul,6,27509.647382353
Electrolyzers,Product Component,Downstream,Rio de Janeiro,3,6773.97303981107
Electrolyzers,Product Component,Downstream,Santa Catarina,9,11709.61553209958
Electrolyzers,Product Component,Downstream,Sao Paulo,28,11985.7918125019
Electrolyzers,Product Component,Midstream,Amazonas,4,15103.22663957566
Electrolyzers,Product Component,Midstream,Bahia,8,68558.31502260175
Electrolyzers,Product Component,Midstream,Ceara,2,12954.869677364424
Electrolyzers,Product Component,Midstream,Federal district,1,7740.786205206736
Electrolyzers,Product Component,Midstream,Goias,2,6191.586458445869
Electrolyzers,Product Component,Midstream,Minas Gerais,1,15316.2645679773
Electrolyzers,Product Component,Midstream,Para,2,14280.120918631623
Electrolyzers,Product Component,Midstream,Parana,4,23843.954992862644
Electrolyzers,Product Component,Midstream,Pernambuco,3,408031.4281034467
Electrolyzers,Product Component,Midstream,Rio Grande do Norte,1,27331.733009957876
Electrolyzers,Product Component,Midstream,Rio Grande do Sul,2,434529.8016570087
Electrolyzers,Product Component,Midstream,Rio de Janeiro,8,174723.47289353493
