iso3,country,region
AFG,Afghanistan,South Asia
AGO,Angola,Sub-Saharan Africa
ALB,Albania,Europe & Central Asia
ARE,United Arab Emirates,Middle East & North Africa
ARG,Argentina,Latin America & Caribbean
ARM,Armenia,Europe & Central Asia
AUS,Australia,East Asia & Pacific
AUT,Austria,Europe & Central Asia
AZE,Azerbaijan,Europe & Central Asia
BDI,Burundi,Sub-Saharan Africa
BEL,Belgium,Europe & Central Asia
BEN,Benin,Sub-Saharan Africa
BFA,Burkina Faso,Sub-Saharan Africa
BGD,Bangladesh,South Asia
BGR,Bulgaria,Europe & Central Asia
BHR,Bahrain,Middle East & North Africa
BIH,Bosnia & Herzegovina,Europe & Central Asia
BLR,Belarus,Europe & Central Asia
BOL,Bolivia,Latin America & Caribbean
BRA,Brazil,Latin America & Caribbean
BWA,Botswana,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa
CAN,Canada,North America
CHE,Switzerland,Europe & Central Asia
CHL,Chile,Latin America & Caribbean
CHN,China,East Asia & Pacific
CIV,Côte d’Ivoire,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa
COD,Congo - Kinshasa,Sub-Saharan Africa
COG,Congo - Brazzaville,Sub-Saharan Africa
COL,Colombia,Latin America & Caribbean
CRI,Costa Rica,Latin America & Caribbean
CUB,Cuba,Latin America & Caribbean
CYP,Cyprus,Europe & Central Asia
CZE,Czechia,Europe & Central Asia
DEU,Germany,Europe & Central Asia
DJI,Djibouti,Middle East & North Africa
DNK,Denmark,Europe & Central Asia
DOM,Dominican Republic,Latin America & Caribbean
DZA,Algeria,Middle East & North Africa
ECU,Ecuador,Latin America & Caribbean
EGY,Egypt,Middle East & North Africa
ERI,Eritrea,Sub-Saharan Africa
ESP,Spain,Europe & Central Asia
EST,Estonia,Europe & Central Asia
ETH,Ethiopia,Sub-Saharan Africa
FIN,Finland,Europe & Central Asia
FRA,France,Europe & Central Asia
GAB,Gabon,Sub-Saharan Africa
GBR,United Kingdom,Europe & Central Asia
GEO,Georgia,Europe & Central Asia
GHA,Ghana,Sub-Saharan Africa
GIN,Guinea,Sub-Saharan Africa
GMB,Gambia,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa
GNQ,Equatorial Guinea,Sub-Saharan Africa
GRC,Greece,Europe & Central Asia
GTM,Guatemala,Latin America & Caribbean
HKG,Hong Kong SAR China,East Asia & Pacific
HND,Honduras,Latin America & Caribbean
HRV,Croatia,Europe & Central Asia
HTI,Haiti,Latin America & Caribbean
HUN,Hungary,Europe & Central Asia
IDN,Indonesia,East Asia & Pacific
IND,India,South Asia
IRL,Ireland,Europe & Central Asia
IRN,Iran,Middle East & North Africa
IRQ,Iraq,Middle East & North Africa
ISR,Israel,Middle East & North Africa
ITA,Italy,Europe & Central Asia
JAM,Jamaica,Latin America & Caribbean
JOR,Jordan,Middle East & North Africa
JPN,Japan,East Asia & Pacific
KAZ,Kazakhstan,Europe & Central Asia
KEN,Kenya,Sub-Saharan Africa
KGZ,Kyrgyzstan,Europe & Central Asia
KHM,Cambodia,East Asia & Pacific
KOR,South Korea,East Asia & Pacific
KWT,Kuwait,Middle East & North Africa
LAO,Laos,East Asia & Pacific
LBN,Lebanon,Middle East & North Africa
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,Middle East & North Africa
LKA,Sri Lanka,South Asia
LSO,Lesotho,Sub-Saharan Africa
LTU,Lithuania,Europe & Central Asia
LVA,Latvia,Europe & Central Asia
MAR,Morocco,Middle East & North Africa
MDA,Moldova,Europe & Central Asia
MDG,Madagascar,Sub-Saharan Africa
MEX,Mexico,Latin America & Caribbean
MKD,North Macedonia,Europe & Central Asia
MLI,Mali,Sub-Saharan Africa
MMR,Myanmar (Burma),East Asia & Pacific
MNG,Mongolia,East Asia & Pacific
MOZ,Mozambique,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,East Asia & Pacific
NAM,Namibia,Sub-Saharan Africa
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
NIC,Nicaragua,Latin America & Caribbean
NLD,Netherlands,Europe & Central Asia
NOR,Norway,Europe & Central Asia
NPL,Nepal,South Asia
NZL,New Zealand,East Asia & Pacific
OMN,Oman,Middle East & North Africa
PAK,Pakistan,South Asia
PAN,Panama,Latin America & Caribbean
PER,Peru,Latin America & Caribbean
PHL,Philippines,East Asia & Pacific
PNG,Papua New Guinea,East Asia & Pacific
POL,Poland,Europe & Central Asia
PRT,Portugal,Europe & Central Asia
PRY,Paraguay,Latin America & Caribbean
PSE,Palestinian Territories,Middle East & North Africa
QAT,Qatar,Middle East & North Africa
ROU,Romania,Europe & Central Asia
RUS,Russia,Europe & Central Asia
RWA,Rwanda,Sub-Saharan Africa
SAU,Saudi Arabia,Middle East & North Africa
SDN,Sudan,Sub-Saharan Africa
SEN,Senegal,Sub-Saharan Africa
SGP,Singapore,East Asia & Pacific
SLE,Sierra Leone,Sub-Saharan Africa
SLV,El Salvador,Latin America & Caribbean
SOM,Somalia,Sub-Saharan Africa
SVK,Slovakia,Europe & Central Asia
SVN,Slovenia,Europe & Central Asia
SWE,Sweden,Europe & Central Asia
SWZ,Eswatini,Sub-Saharan Africa
SYR,Syria,Middle East & North Africa
TCD,Chad,Sub-Saharan Africa
TGO,Togo,Sub-Saharan Africa
THA,Thailand,East Asia & Pacific
TJK,Tajikistan,Europe & Central Asia
TKM,Turkmenistan,Europe & Central Asia
TLS,Timor-Leste,East Asia & Pacific
TTO,Trinidad & Tobago,Latin America & Caribbean
TUN,Tunisia,Middle East & North Africa
TUR,Turkey,Europe & Central Asia
TZA,Tanzania,Sub-Saharan Africa
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,Europe & Central Asia
URY,Uruguay,Latin America & Caribbean
USA,United States,North America
UZB,Uzbekistan,Europe & Central Asia
VEN,Venezuela,Latin America & Caribbean
VNM,Vietnam,East Asia & Pacific
YEM,Yemen,Middle East & North Africa
ZAF,South Africa,Sub-Saharan Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
