year,tech,role,stage,exports,imports,balance
1995,Batteries,Raw Material,Upstream,3496551.9439999997,352936.52700000006,3143615.4169999994
1995,Batteries,Processed Material,Midstream,215442.58200000005,445080.596,-229638.01399999997
1995,Batteries,Product Component,Midstream,52058.64766666668,47309.46800000001,4749.1796666666705
1995,Batteries,Process Equipment,Downstream,70126.0668333333,806798.9056666655,-736672.8388333322
1995,Batteries,Process Equipment,Midstream,8734.60416666667,98619.03333333331,-89884.42916666664
1995,Batteries,Product Component,Downstream,689.8743333333333,3006.129,-2316.2546666666667
1995,Batteries,Final Product,Final Product,53.9955,4294.5725,-4240.577
1996,Batteries,Raw Material,Upstream,3534276.3189999987,74754.49600000001,3459521.822999999
1996,Batteries,Processed Material,Midstream,186034.93899999993,214003.66699999996,-27968.728000000032
1996,Batteries,Product Component,Midstream,50193.95733333335,141129.25033333336,-90935.293
1996,Batteries,Process Equipment,Downstream,49784.841333333214,771101.7498333333,-721316.9085000001
1996,Batteries,Process Equipment,Midstream,9153.473666666667,59150.536166666665,-49997.0625
1996,Batteries,Product Component,Downstream,234.81966666666665,2237.0036666666665,-2002.1839999999997
1996,Batteries,Final Product,Final Product,0,1880.4650000000001,-1880.4650000000001
1997,Batteries,Process Equipment,Downstream,102941.37283333331,1494480.407000001,-1391539.0341666678
1997,Batteries,Processed Material,Midstream,270258.338,369067.789,-98809.451
1997,Batteries,Process Equipment,Midstream,26595.03316666666,146670.19800000003,-120075.16483333337
1997,Batteries,Raw Material,Upstream,3627139.72,311034.54899999994,3316105.171
1997,Batteries,Product Component,Midstream,105714.19899999996,203513.29700000002,-97799.09800000006
1997,Batteries,Product Component,Downstream,658.7339999999999,4233.764,-3575.03
1997,Batteries,Final Product,Final Product,86.624,8022.856000000001,-7936.232000000001
1998,Batteries,Processed Material,Midstream,300263.07399999985,354624.597,-54361.52300000016
1998,Batteries,Raw Material,Upstream,3870353.9369999985,179429.801,3690924.1359999985
1998,Batteries,Product Component,Midstream,86754.71233333331,195770.1703333333,-109015.458
1998,Batteries,Process Equipment,Downstream,77436.14716666663,1263447.9944999996,-1186011.847333333
1998,Batteries,Process Equipment,Midstream,33001.00483333333,135257.6515,-102256.64666666667
1998,Batteries,Product Component,Downstream,431.08166666666665,5586.916666666667,-5155.835
1998,Batteries,Final Product,Final Product,0,19278.4675,-19278.4675
1999,Batteries,Process Equipment,Downstream,67254.3226666668,1024332.2685000002,-957077.9458333334
1999,Batteries,Raw Material,Upstream,3356035.231000001,235755.039,3120280.192000001
1999,Batteries,Processed Material,Midstream,345925.0530000001,356333.996,-10408.942999999912
1999,Batteries,Product Component,Midstream,70823.70633333332,180026.69866666663,-109202.99233333331
1999,Batteries,Process Equipment,Midstream,15998.628333333334,88051.2745,-72052.64616666667
1999,Batteries,Product Component,Downstream,449.0926666666666,6472.4563333333335,-6023.363666666667
1999,Batteries,Final Product,Final Product,91.211,27397.052999999996,-27305.841999999997
2000,Batteries,Process Equipment,Downstream,66440.5258333334,931241.5528333334,-864801.027
2000,Batteries,Raw Material,Upstream,3924106.6209999984,280587.503,3643519.1179999984
2000,Batteries,Processed Material,Midstream,468188.852,389713.97899999993,78474.87300000008
