year,tech,role,stage,exports,imports,balance
1995,Geothermal,Raw Material,Upstream,3451701.3730000006,414566.122,3037135.2510000006
1995,Geothermal,Processed Material,Midstream,81347.31500000002,61502.8965,19844.418500000014
1995,Geothermal,Product Component,Midstream,137607.951,364054.61783333326,-226446.66683333326
1995,Geothermal,Product Component,Downstream,44552.058,115116.90300000002,-70564.84500000003
1995,Geothermal,Process Equipment,Downstream,58123.591,196691.02833333326,-138567.43733333325
1995,Geothermal,Process Equipment,Midstream,15146.193999999998,112448.43033333332,-97302.23633333332
1995,Geothermal,Final Product,Final Product,4993.304000000001,53704.523,-48711.219
1996,Geothermal,Raw Material,Upstream,3497486.0849999995,109907.153,3387578.9319999996
1996,Geothermal,Product Component,Midstream,117527.84083333332,245360.6188333333,-127832.77799999999
1996,Geothermal,Product Component,Downstream,32510.135,255338.64999999997,-222828.51499999996
1996,Geothermal,Processed Material,Midstream,115603.07149999999,28846.086499999998,86756.98499999999
1996,Geothermal,Final Product,Final Product,17323.696000000004,58466.387,-41142.691
1996,Geothermal,Process Equipment,Midstream,10760.372833333331,94823.77283333334,-84063.40000000001
1996,Geothermal,Process Equipment,Downstream,60202.898833333325,169929.32683333338,-109726.42800000006
1997,Geothermal,Process Equipment,Midstream,29548.968333333338,202696.9921666666,-173148.02383333328
1997,Geothermal,Process Equipment,Downstream,66767.40733333334,357846.28916666657,-291078.88183333323
1997,Geothermal,Product Component,Midstream,156970.35683333344,513156.8516666666,-356186.4948333332
1997,Geothermal,Processed Material,Midstream,111080.28050000002,70046.731,41033.54950000002
1997,Geothermal,Raw Material,Upstream,3567211.2030000007,376721.9380000001,3190489.2650000006
1997,Geothermal,Product Component,Downstream,42614.603,151204.30299999999,-108589.69999999998
1997,Geothermal,Final Product,Final Product,32996.90899999999,159462.76799999998,-126465.859
1998,Geothermal,Product Component,Midstream,143157.34616666666,489595.31333333335,-346437.9671666667
1998,Geothermal,Final Product,Final Product,43571.48799999998,368940.1829999999,-325368.69499999995
1998,Geothermal,Product Component,Downstream,40264.56599999999,176474.475,-136209.909
1998,Geothermal,Process Equipment,Downstream,52734.39266666666,272364.1363333332,-219629.74366666656
1998,Geothermal,Raw Material,Upstream,3833643.8459999985,244961.355,3588682.4909999985
1998,Geothermal,Processed Material,Midstream,93785.5515,52393.545,41392.0065
1998,Geothermal,Process Equipment,Midstream,28706.829666666657,158562.0523333334,-129855.22266666676
1999,Geothermal,Processed Material,Midstream,133508.29500000004,49446.212,84062.08300000004
1999,Geothermal,Raw Material,Upstream,3334444.700000001,299836.708,3034607.992000001
1999,Geothermal,Product Component,Midstream,117752.74699999997,404217.2926666667,-286464.5456666667
1999,Geothermal,Product Component,Downstream,32347.235999999994,143047.73700000002,-110700.50100000003
1999,Geothermal,Final Product,Final Product,41679.352,385912.40800000005,-344233.05600000004
1999,Geothermal,Process Equipment,Midstream,25118.232999999997,122095.04766666665,-96976.81466666666
1999,Geothermal,Process Equipment,Downstream,56578.082,235110.98566666665,-178532.90366666665
2000,Geothermal,Product Component,Midstream,135970.82599999997,450012.15150000004,-314041.32550000004
2000,Geothermal,Raw Material,Upstream,3892052.468999999,347786.821,3544265.647999999
2000,Geothermal,Processed Material,Midstream,340512.37499999994,70196.92349999999,270315.45149999997
2000,Geothermal,Product Component,Downstream,41275.924999999974,173377.91900000005,-132101.99400000006
2000,Geothermal,Final Product,Final Product,34568.558000000005,128459.334,-93890.776
2000,Geothermal,Process Equipment,Midstream,17042.52,93052.2915,-76009.7715
2000,Geothermal,Process Equipment,Downstream,68318.47400000002,157996.79050000003,-89678.31650000002
2001,Geothermal,Product Component,Midstream,150532.70633333334,437463.35883333336,-286930.6525
2001,Geothermal,Product Component,Downstream,45287.32900000001,201896.276,-156608.947
2001,Geothermal,Raw Material,Upstream,3788254.0910000005,302793.82,3485460.2710000006
2001,Geothermal,Processed Material,Midstream,285240.5869999999,66804.1925,218436.39449999988
2001,Geothermal,Final Product,Final Product,67608.46799999998,750853.948,-683245.48
2001,Geothermal,Process Equipment,Downstream,75666.76283333334,212897.62933333337,-137230.86650000003
2001,Geothermal,Process Equipment,Midstream,14357.829833333331,98189.67533333335,-83831.84550000001
2002,Geothermal,Product Component,Midstream,155551.16766666665,417311.00416666677,-261759.83650000012
