year,tech,role,stage,exports,imports,balance
1995,Heat Pumps,Product Component,Downstream,456107.6200000001,218181.70749999996,237925.91250000015
1995,Heat Pumps,Raw Material,Upstream,142380.824,340342.039,-197961.215
1995,Heat Pumps,Processed Material,Midstream,136510.96899999998,138254.718,-1743.7490000000107
1995,Heat Pumps,Product Component,Midstream,15004.745,143540.49850000005,-128535.75350000005
1995,Heat Pumps,Process Equipment,Midstream,2265.8190000000004,5317.782999999999,-3051.963999999999
1995,Heat Pumps,Final Product,Final Product,9683.233999999999,14558.807,-4875.573000000002
1995,Heat Pumps,Process Equipment,Downstream,1799.019,168403.30199999997,-166604.28299999997
1996,Heat Pumps,Product Component,Midstream,24782.371,90401.55549999999,-65619.18449999999
1996,Heat Pumps,Raw Material,Upstream,153002.9,68229.486,84773.41399999999
1996,Heat Pumps,Processed Material,Midstream,100591.95700000001,11900.181999999999,88691.77500000001
1996,Heat Pumps,Process Equipment,Midstream,974.265,4807.019999999999,-3832.7549999999987
1996,Heat Pumps,Product Component,Downstream,357419.078,261644.39450000002,95774.68349999996
1996,Heat Pumps,Final Product,Final Product,8766.807999999999,10082.858,-1316.050000000001
1996,Heat Pumps,Process Equipment,Downstream,624.394,80769.69499999999,-80145.30099999999
1997,Heat Pumps,Product Component,Downstream,418420.7620000001,283916.43700000003,134504.32500000007
1997,Heat Pumps,Product Component,Midstream,28956.529,187610.03999999998,-158653.51099999997
1997,Heat Pumps,Raw Material,Upstream,126110.38,286791.338,-160680.95799999998
1997,Heat Pumps,Processed Material,Midstream,212029.20099999997,15715.496,196313.70499999996
1997,Heat Pumps,Final Product,Final Product,6071.085,42870.140999999996,-36799.056
1997,Heat Pumps,Process Equipment,Downstream,4197.824,122184.11,-117986.28600000001
1997,Heat Pumps,Process Equipment,Midstream,104.034,9939.355999999998,-9835.321999999998
1998,Heat Pumps,Product Component,Downstream,473682.28650000005,301855.07199999987,171827.21450000018
1998,Heat Pumps,Product Component,Midstream,19450.314499999997,204736.90600000005,-185286.59150000004
1998,Heat Pumps,Raw Material,Upstream,119267.72399999999,175110.815,-55843.091000000015
1998,Heat Pumps,Processed Material,Midstream,285647.709,14631.679,271016.02999999997
