year,tech,role,stage,exports,imports,balance
1995,Solar,Processed Material,Midstream,304642.5925000001,300385.42149999994,4257.171000000148
1995,Solar,Raw Material,Upstream,143245.68499999997,332917.144,-189671.459
1995,Solar,Product Component,Downstream,76917.5825,64895.929500000006,12021.652999999998
1995,Solar,Process Equipment,Midstream,10027.193,55787.41600000001,-45760.22300000001
1995,Solar,Process Equipment,Downstream,25661.95299999999,313270.5739999999,-287608.6209999999
1995,Solar,Product Component,Midstream,375.19399999999996,3963.174,-3587.98
1996,Solar,Raw Material,Upstream,153958.467,69388.46100000001,84570.006
1996,Solar,Processed Material,Midstream,313953.5035,123947.949,190005.5545
1996,Solar,Product Component,Downstream,37547.0265,54425.183,-16878.156499999997
1996,Solar,Process Equipment,Midstream,9239.831,30353.788,-21113.957000000002
1996,Solar,Process Equipment,Downstream,19224.20799999999,298945.403,-279721.195
1996,Solar,Product Component,Midstream,114.303,1617.409,-1503.1060000000002
1997,Solar,Process Equipment,Midstream,16765.017,128996.80900000001,-112231.79200000002
1997,Solar,Process Equipment,Downstream,38112.67599999999,773948.5009999997,-735835.8249999997
1997,Solar,Processed Material,Midstream,427090.50150000013,217479.30849999996,209611.19300000017
1997,Solar,Raw Material,Upstream,127223.71700000005,285972.949,-158749.23199999996
1997,Solar,Product Component,Downstream,87986.33750000001,92445.7195,-4459.381999999998
1997,Solar,Product Component,Midstream,0,1166.0949999999998,-1166.0949999999998
1998,Solar,Processed Material,Midstream,393041.7044999998,195846.34900000002,197195.3554999998
1998,Solar,Raw Material,Upstream,119375.33899999998,175295.401,-55920.062000000034
1998,Solar,Product Component,Downstream,142029.2475,83064.78899999999,58964.45850000001
1998,Solar,Process Equipment,Midstream,13011.985,86367.392,-73355.407
1998,Solar,Process Equipment,Downstream,22743.01300000001,591403.067,-568660.054
1998,Solar,Product Component,Midstream,106.91,1323.9850000000001,-1217.075
1999,Solar,Process Equipment,Downstream,20026.355999999992,513899.8230000002,-493873.46700000024
1999,Solar,Processed Material,Midstream,403316.3690000001,173587.79750000002,229728.5715000001
1999,Solar,Raw Material,Upstream,119134.63100000002,233203.33299999996,-114068.70199999993
1999,Solar,Product Component,Downstream,232294.39299999995,70752.6245,161541.76849999995
1999,Solar,Process Equipment,Midstream,18937.211,58645.48599999999,-39708.274999999994
1999,Solar,Product Component,Midstream,114.268,1446.011,-1331.743
2000,Solar,Process Equipment,Downstream,29432.864,476487.31300000026,-447054.44900000026
2000,Solar,Processed Material,Midstream,493370.10049999977,229039.29900000006,264330.8014999997
2000,Solar,Raw Material,Upstream,131182.08299999996,268944.36199999996,-137762.279
2000,Solar,Product Component,Downstream,312243.0905,89278.49299999999,222964.5975
2000,Solar,Process Equipment,Midstream,9836.822,43423.28999999999,-33586.46799999999
2000,Solar,Product Component,Midstream,136.061,1349.682,-1213.621
2001,Solar,Process Equipment,Downstream,42066.342000000026,433601.2359999999,-391534.8939999999
2001,Solar,Processed Material,Midstream,453413.7155000001,223944.925,229468.79050000012
2001,Solar,Raw Material,Upstream,113148.17400000003,221731.223,-108583.04899999997
2001,Solar,Product Component,Downstream,265716.3505,88871.802,176844.5485
2001,Solar,Process Equipment,Midstream,7570.246,37022.724,-29452.478000000003
2001,Solar,Product Component,Midstream,0,547.017,-547.017
2002,Solar,Processed Material,Midstream,450475.4125000001,201653.87199999997,248821.54050000012
2002,Solar,Process Equipment,Midstream,14077.777999999993,107126.24301851854,-93048.46501851855
2002,Solar,Process Equipment,Downstream,40407.109000000004,284651.14014814835,-244244.03114814835
2002,Solar,Raw Material,Upstream,118496.24699999999,195295.288,-76799.04100000001
2002,Solar,Product Component,Downstream,230886.2905,95727.483,135158.8075
