year,tech,role,stage,exports,imports,balance
1995,Transmission,Raw Material,Upstream,3367921.6579999994,330478.99700000003,3037442.6609999994
1995,Transmission,Processed Material,Midstream,91898.44700000001,205032.07500000004,-113133.62800000003
1995,Transmission,Process Equipment,Midstream,22086.731000000003,30450.135000000002,-8363.403999999999
1995,Transmission,Process Equipment,Downstream,50185.211999999985,499971.064,-449785.852
1995,Transmission,Final Product,Final Product,21832.825,102511.88199999994,-80679.05699999994
1995,Transmission,Product Component,Downstream,15237.317,28643.354000000007,-13406.037000000008
1996,Transmission,Raw Material,Upstream,3441082.107,66746.67500000002,3374335.432
1996,Transmission,Processed Material,Midstream,93604.057,12830.055,80774.00200000001
1996,Transmission,Process Equipment,Downstream,26929.409999999993,491006.1719999999,-464076.76199999993
1996,Transmission,Process Equipment,Midstream,19547.089,21403.062,-1855.9730000000018
1996,Transmission,Final Product,Final Product,9474.679,45431.484,-35956.80499999999
1996,Transmission,Product Component,Downstream,6139.276000000001,30552.103,-24412.826999999997
1997,Transmission,Process Equipment,Downstream,64246.496,1005901.1489999995,-941654.6529999995
1997,Transmission,Product Component,Downstream,11011.341,36447.042,-25435.701
1997,Transmission,Raw Material,Upstream,3502981.517,305892.20900000003,3197089.308
1997,Transmission,Processed Material,Midstream,181797.07,61544.83499999999,120252.23500000002
1997,Transmission,Process Equipment,Midstream,22917.639999999996,102576.518,-79658.878
1997,Transmission,Final Product,Final Product,14656.238000000001,149438.86599999995,-134782.62799999994
1998,Transmission,Raw Material,Upstream,3762960.2449999987,174379.29299999998,3588580.9519999987
1998,Transmission,Processed Material,Midstream,204769.60499999998,49317.63099999999,155451.974
1998,Transmission,Process Equipment,Downstream,42598.97999999999,801047.403,-758448.4230000001
1998,Transmission,Process Equipment,Midstream,27380.633999999995,110842.929,-83462.29500000001
1998,Transmission,Final Product,Final Product,6612.3759999999975,100008.34200000002,-93395.96600000001
1998,Transmission,Product Component,Downstream,9909.436,43583.581999999995,-33674.14599999999
1999,Transmission,Process Equipment,Downstream,39726.942,679747.7439999996,-640020.8019999996
1999,Transmission,Raw Material,Upstream,3287767.1710000006,232048.77100000004,3055718.4000000004
1999,Transmission,Processed Material,Midstream,253327.43699999998,37692.143,215635.294
1999,Transmission,Process Equipment,Midstream,19701.707,58842.981999999996,-39141.274999999994
1999,Transmission,Final Product,Final Product,11827.678,107977.3,-96149.622
1999,Transmission,Product Component,Downstream,9365.559,39516.193,-30150.634
2000,Transmission,Process Equipment,Downstream,41083.007000000005,600025.025,-558942.018
2000,Transmission,Raw Material,Upstream,3829429.7899999986,268775.97900000005,3560653.810999999
2000,Transmission,Processed Material,Midstream,314669.2490000001,29783.818999999996,284885.4300000001
2000,Transmission,Process Equipment,Midstream,27091.016,40717.70199999999,-13626.68599999999
2000,Transmission,Final Product,Final Product,15907.324000000002,106860.21800000007,-90952.89400000006
2000,Transmission,Product Component,Downstream,11133.834,39165.765,-28031.930999999997
2001,Transmission,Process Equipment,Downstream,63657.513,590097.689,-526440.176
2001,Transmission,Raw Material,Upstream,3709044.47,220739.018,3488305.452
2001,Transmission,Processed Material,Midstream,289516.5249999999,37903.501000000004,251613.02399999992
2001,Transmission,Process Equipment,Midstream,24291.804,19995.565000000002,4296.238999999998
2001,Transmission,Final Product,Final Product,19234.505,120426.34699999998,-101191.84199999998
2001,Transmission,Product Component,Downstream,11846.418,61903.47200000001,-50057.05400000001
2002,Transmission,Process Equipment,Downstream,51655.84099999998,499699.16099999973,-448043.3199999998
2002,Transmission,Raw Material,Upstream,3692623.1240000012,194515.19000000003,3498107.9340000013
2002,Transmission,Processed Material,Midstream,249720.54100000003,33123.037000000004,216597.50400000002
2002,Transmission,Process Equipment,Midstream,26404.647,22961.27799999999,3443.3690000000097
2002,Transmission,Final Product,Final Product,9664.987000000001,72688.27500000002,-63023.28800000002
2002,Transmission,Product Component,Downstream,15868.709999999997,30108.489999999994,-14239.779999999997
2003,Transmission,Process Equipment,Downstream,86267.57699999998,331970.225,-245702.648
2003,Transmission,Final Product,Final Product,17144.877,63526.72200000001,-46381.84500000001
2003,Transmission,Raw Material,Upstream,4288404.424000001,225381.31600000002,4063023.1080000005
2003,Transmission,Processed Material,Midstream,407233.34500000003,51744.009999999995,355489.335
2003,Transmission,Process Equipment,Midstream,36554.776,19725.161999999997,16829.614
2003,Transmission,Product Component,Downstream,14528.096000000001,28537.297,-14009.200999999997
2004,Transmission,Raw Material,Upstream,6597682.435000002,499118.7739999999,6098563.661000002
2004,Transmission,Process Equipment,Downstream,277137.4989999999,439558.81599999964,-162421.31699999975
2004,Transmission,Final Product,Final Product,33305.938,89870.275,-56564.33699999999
2004,Transmission,Processed Material,Midstream,558832.492,98954.295,459878.197
2004,Transmission,Process Equipment,Midstream,49200.366,35701.549,13498.817000000003
2004,Transmission,Product Component,Downstream,16237.025,38784.61200000001,-22547.587000000007
2005,Transmission,Raw Material,Upstream,9838614.895999998,491638.877,9346976.018999998
2005,Transmission,Process Equipment,Midstream,76148.51,69561.91499999998,6586.595000000016
2005,Transmission,Process Equipment,Downstream,204216.79800000004,514395.09799999994,-310178.29999999993
2005,Transmission,Product Component,Downstream,21463.005,37227.726,-15764.721000000001
2005,Transmission,Processed Material,Midstream,840784.1390000001,153460.298,687323.841
2005,Transmission,Final Product,Final Product,23620.927,101270.15599999999,-77649.22899999999
2006,Transmission,Process Equipment,Downstream,294270.16799999995,568879.531,-274609.363
2006,Transmission,Product Component,Downstream,31611.102000000003,51923.856999999996,-20312.754999999994
2006,Transmission,Raw Material,Upstream,12294723.881000001,1025804.2170000002,11268919.664
2006,Transmission,Processed Material,Midstream,1545571.2060000002,329022.7529999999,1216548.4530000002
2006,Transmission,Process Equipment,Midstream,111340.91699999997,52075.208000000006,59265.708999999966
