year,tech,role,stage,exports,imports,balance
1995,Wind,Processed Material,Midstream,2073771.3185000003,767576.8084999999,1306194.5100000002
1995,Wind,Product Component,Midstream,408253.81850000017,1001805.5965000002,-593551.778
1995,Wind,Raw Material,Upstream,219057.75500000003,412156.05,-193098.29499999995
1995,Wind,Product Component,Downstream,238915.67900000006,675549.269,-436633.5899999999
1995,Wind,Process Equipment,Downstream,16476.3445,114503.29049999997,-98026.94599999997
1995,Wind,Process Equipment,Midstream,3149.2485,302862.61950000003,-299713.37100000004
1996,Wind,Raw Material,Upstream,207265.07400000002,68983.26,138281.814
1996,Wind,Processed Material,Midstream,1304703.7225000001,268732.56000000006,1035971.1625000001
1996,Wind,Product Component,Midstream,318223.6695000001,788977.554,-470753.8844999999
1996,Wind,Product Component,Downstream,164443.70700000002,556749.675,-392305.968
1996,Wind,Process Equipment,Downstream,13916.051,111585.807,-97669.756
1996,Wind,Process Equipment,Midstream,4592.622,170629.58499999996,-166036.96299999996
1996,Wind,Final Product,Final Product,0,734.0625,-734.0625
1997,Wind,Processed Material,Midstream,1756607.6000000006,461071.7145000001,1295535.8855000003
1997,Wind,Process Equipment,Downstream,20611.246,240987.5865,-220376.3405
1997,Wind,Product Component,Midstream,455913.93600000016,1757415.6475,-1301501.7114999997
1997,Wind,Raw Material,Upstream,185751.53500000006,403215.25899999996,-217463.7239999999
1997,Wind,Product Component,Downstream,257559.57800000004,794530.237,-536970.659
1997,Wind,Process Equipment,Midstream,5042.38,293438.4255,-288396.0455
1997,Wind,Final Product,Final Product,0,60.5855,-60.5855
1998,Wind,Product Component,Midstream,453587.7105000001,1429836.4725000001,-976248.7620000001
1998,Wind,Processed Material,Midstream,1540861.3315,406925.62750000006,1133935.704
1998,Wind,Raw Material,Upstream,188628.52899999995,253289.51,-64660.98100000006
1998,Wind,Product Component,Downstream,275076.306,608978.725,-333902.419
1998,Wind,Process Equipment,Downstream,17660.442000000003,202276.71300000002,-184616.271
1998,Wind,Process Equipment,Midstream,5227.42,153019.99200000003,-147792.57200000001
1998,Wind,Final Product,Final Product,1059.1205,4335.243,-3276.1225000000004
1999,Wind,Processed Material,Midstream,1486985.4145,385061.90449999995,1101923.51
1999,Wind,Product Component,Midstream,414683.0345,1157870.7465,-743187.7119999998
1999,Wind,Raw Material,Upstream,161459.49300000002,314664.345,-153204.85199999996
1999,Wind,Product Component,Downstream,244031.26900000006,460787.371,-216756.10199999993
1999,Wind,Process Equipment,Downstream,22421.699999999997,135734.41949999996,-113312.71949999996
1999,Wind,Process Equipment,Midstream,3544.2439999999997,124598.0715,-121053.8275
1999,Wind,Final Product,Final Product,774.587,126.356,648.231
2000,Wind,Processed Material,Midstream,1723000.4424999994,515797.35600000015,1207203.0864999993
2000,Wind,Product Component,Midstream,486844.6495,1266363.2299999995,-779518.5804999995
2000,Wind,Product Component,Downstream,233001.15599999993,536953.969,-303952.8130000001
2000,Wind,Raw Material,Upstream,191605.52800000002,354048.80100000004,-162443.27300000002
2000,Wind,Process Equipment,Downstream,15196.377499999999,126813.73449999999,-111617.35699999999
