tech,code,hs_rev_canonical,issue,name,role,stage,split_weight,official_description
Batteries,842010,HS22,stage,Electrode Production; Calendering,Process Equipment,Downstream,0.5,"Machines: calendering or other rolling machines, for other than metal or glass"
Batteries,842010,HS22,stage,Separator Production; Rolling,Process Equipment,Midstream,0.5,"Machines: calendering or other rolling machines, for other than metal or glass"
Batteries,847982,HS22,stage,Electrode Production; Dry & Wet Mixing,Process Equipment,Downstream,0.3333333333333333,"Machines: for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring"
Batteries,847982,HS22,stage,Active Materials Production; Dry & Wet Mixing,Process Equipment,Midstream,0.3333333333333333,"Machines: for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring"
Batteries,847982,HS22,stage,Electrolyte Production; Dry & Wet Mixing,Process Equipment,Midstream,0.3333333333333333,"Machines: for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring"
Batteries,850790,HS22,stage,Parts of Accumulators,Product Component,Downstream,0.3333333333333333,Electric accumulators: parts n.e.c. in heading no. 8507
Batteries,850790,HS22,stage,Current Collectors (Cu),Product Component,Midstream,0.3333333333333333,Electric accumulators: parts n.e.c. in heading no. 8507
Batteries,850790,HS22,stage,Separator,Product Component,Midstream,0.3333333333333333,Electric accumulators: parts n.e.c. in heading no. 8507
EVs,741410,NA,role,PMSM; Copper Wire,Processed Material,Midstream,0.5,NA
EVs,741410,NA,role,PMSM; Copper Wire,Product Component,Midstream,0.5,NA
Electrolyzers,847982,HS22,stage,Diffusion Layer Production: Industrial Blender,Process Equipment,Downstream,0.5,"Machines: for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring"
Electrolyzers,847982,HS22,stage,Active Materials Production; Industrial Blender,Process Equipment,Midstream,0.5,"Machines: for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring"
Geothermal,400259,HS22,role,Mud Hose; Nitrile Rubber,Processed Material,Midstream,0.5,"Rubber: synthetic, acrylonitrile-butadiene rubber (NBR), (other than latex), in primary forms or in plates, sheets or strip"
Geothermal,400259,HS22,role,O-Rings; HNBR (Hydrogenated Nitrile Rubber),Product Component,Midstream,0.5,"Rubber: synthetic, acrylonitrile-butadiene rubber (NBR), (other than latex), in primary forms or in plates, sheets or strip"
Geothermal,841710,HS22,role+stage,Drill Pipe Manufacture; Furnace Heating,Process Equipment,Downstream,0.3333333333333333,"Furnaces and ovens: non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use"
Geothermal,841710,HS22,role+stage,Kellys; Furnace Heating,Process Equipment,Midstream,0.3333333333333333,"Furnaces and ovens: non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use"
Geothermal,841710,HS22,role+stage,Furnace for Steel Pipe Making,Product Component,Midstream,0.3333333333333333,"Furnaces and ovens: non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use"
Geothermal,845521,HS22,stage,Drill Pipe Manufacture; Hot Rolling,Process Equipment,Downstream,0.5,Metal-rolling mills: hot or combination hot and cold rolling mills
