"tech","code","label"
"Solar","854142","Solar Cells"
"Solar","854143","PV Modules"
"Solar","854172","PV DC Generators"
"Solar","854149","Solar Inverters"
"Solar","847989","PV Mfg Equipment"
"Nuclear","840110","Nuclear Reactors"
"Nuclear","284410","Natural Uranium"
"Nuclear","840120","Isotope Sep. Machinery"
"Nuclear","284440","Radioactive Elements"
"Nuclear","810990","Zirconium"
"Batteries","850760","Li-ion Batteries"
"Batteries","283691","Lithium Carbonate"
"Batteries","260300","Cobalt Ores"
"Batteries","811293","Cobalt Metal"
"Batteries","280510","Lithium Metal"
"Transmission","850461","Power Transformers"
"Transmission","854411","Winding Wire"
"Transmission","850440","Static Converters"
"Transmission","850490","Transformer Parts"
"Transmission","850423","Medium Transformers"
"Wind","848340","Gearboxes"
"Wind","850164","Wind Generators"
"Wind","848390","Turbine Parts"
"Wind","730820","Steel Towers"
"Wind","701920","Glass Fibre Blades"
