"tech","code","label","role","stage"
"Solar","281820","Alumina","Processed Material","Midstream"
"Solar","760310","Cell; Powders of Non-lamellar Structure, of Aluminum","Processed Material","Midstream"
"Solar","710692","Cell; Silver in Semi-manufactured Forms","Processed Material","Midstream"
"Solar","390730","Epoxide Resins as Potting Agent","Processed Material","Midstream"
"Solar","280469","Ingot; Hydrochloric Acid","Processed Material","Midstream"
"Solar","280461","Polysilicon","Processed Material","Midstream"
"Solar","390130","Solar Glass; Ethylene Polymers for EVA Sheets","Processed Material","Midstream"
"Solar","390469","Solar Glass; Fluoro-polymers for Back Sheets","Processed Material","Midstream"
"Solar","700510","Solar Glass; Glass Sheet Casing (Float Absorbent)","Processed Material","Midstream"
"Solar","700529","Solar Glass; Glass Sheet Casing (Float)","Processed Material","Midstream"
"Solar","700719","Solar Glass; Glass Sheet Casing (Toughened)","Processed Material","Midstream"
"Solar","390761","Solar Glass; Polyethylene Terephthalate (PET) for Back Sheets","Processed Material","Midstream"
"Solar","392062","Solar Glass; Polyethylene Terephthalate (PET) for Back Sheets","Processed Material","Midstream"
"Solar","392010","Solar Glass; Polymers of Ethylene for EVA Sheets","Processed Material","Midstream"
"Solar","392030","Solar Glass; Polymers of Styrene for EVA Sheets","Processed Material","Midstream"
"Solar","281410","Solar Miscellaneous; Ammonia for PECVD","Processed Material","Midstream"
"Solar","320890","Solar Miscellaneous; Antireflective Coating","Processed Material","Midstream"
"Solar","350610","Solar Miscellaneous; Silver Conductive Adhesive Paste","Processed Material","Midstream"
"Solar","260300","Copper Ore","Raw Material","Upstream"
"Solar","811292","Indium","Raw Material","Upstream"
"Solar","251910","Magnesium Ore","Raw Material","Upstream"
"Solar","260400","Nickel Ore","Raw Material","Upstream"
"Solar","280490","Selenium","Raw Material","Upstream"
"Solar","250510","Silica","Raw Material","Upstream"
"Solar","261610","Silver Ore","Raw Material","Upstream"
"Solar","260600","Solar Miscellaneous; Materials for Aluminum Coating","Raw Material","Upstream"
"Solar","280450","Tellurium","Raw Material","Upstream"
"Solar","260900","Tin Ore","Raw Material","Upstream"
"Nuclear","722790","Control Rods; Boron Steel","Processed Material","Midstream"
"Nuclear","282520","Coolant; Lithium Hydroxide","Processed Material","Midstream"
"Nuclear","810990","Fuel Cladding; Zirconium","Processed Material","Midstream"
"Nuclear","681099","Hafnium; Control Rods","Processed Material","Midstream"
"Nuclear","380110","Neutron Moderator; Artificial Graphite","Processed Material","Midstream"
"Nuclear","282611","Neutron Moderator; Fluorides","Processed Material","Midstream"
"Nuclear","284410","Nuclear Fuel; UF6","Processed Material","Midstream"
"Nuclear","720270","Steel Input; Ferro-molybdenum","Processed Material","Midstream"
"Nuclear","720260","Steel Input; Ferro-nickel","Processed Material","Midstream"
"Nuclear","281290","Sulfur Hexafluoride","Processed Material","Midstream"
"Nuclear","281000","Boric Acid","Processed Material","Upstream"
"Nuclear","261000","Chromium Ore","Raw Material","Upstream"
"Nuclear","260300","Copper Ore","Raw Material","Upstream"
"Nuclear","260120","Iron (Roasted Iron Pyrites)","Raw Material","Upstream"
"Nuclear","260112","Iron Ore (Agglomerated)","Raw Material","Upstream"
"Nuclear","260111","Iron Ore (Non- Agglomerated)","Raw Material","Upstream"
"Nuclear","260700","Lead Ore","Raw Material","Upstream"
"Nuclear","260200","Manganese Ore","Raw Material","Upstream"
"Nuclear","261390","Molybdenum Ore","Raw Material","Upstream"
"Nuclear","252890","Natural Borates, Natural Boric Acid (<85%)","Raw Material","Upstream"
"Nuclear","250410","Natural Graphite","Raw Material","Upstream"
"Nuclear","260400","Nickel Ore","Raw Material","Upstream"
