date,vendor,description,amount_eur,amount_usd,receipt_number,notes
2026-04-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2026-04-15,Anthropic,Prepaid extra usage – Individual plan,46.28,,2669-3794-2061,38.25 EUR + 21% Spanish VAT
2026-04-08,Anthropic,Prepaid extra usage – Individual plan,46.28,,2406-3235-5400,38.25 EUR + 21% Spanish VAT
2026-04-06,Anthropic,Claude Pro – monthly subscription,21.78,,2647-3304-7140,18.00 EUR + 21% Spanish VAT
2026-04-02,Anthropic,Prepaid extra usage – Individual plan,24.20,,2272-1458-3637,20.00 EUR + 21% Spanish VAT
2026-04-02,Anthropic,Prepaid extra usage – Individual plan,24.20,,2927-0608-9734,20.00 EUR + 21% Spanish VAT
2026-04-01,Anthropic,Prepaid extra usage – Individual plan,24.20,,2478-7739-8337,20.00 EUR + 21% Spanish VAT
2026-03-31,Anthropic,Prepaid extra usage – Individual plan,6.05,,2757-2799-3163,5.00 EUR + 21% Spanish VAT
2026-03-23,Anthropic,Prepaid extra usage – Individual plan,6.05,,2322-5147-9107,5.00 EUR + 21% Spanish VAT
2026-03-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2026-03-06,Anthropic,Claude Pro – monthly subscription,21.78,,2975-9840-3921,18.00 EUR + 21% Spanish VAT
2026-03-04,Windsurf/Exafunction,Windsurf Pro – monthly subscription,,16.22,2421-4789,15.00 USD + 8.125% NY Sales Tax
2026-02-27,Posit,Connect Cloud Basic – monthly subscription,,20.54,,PDF confirmed: $19.00 + $1.54 NY tax = $20.54 total
2026-02-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2026-02-04,Windsurf/Exafunction,Windsurf Pro – monthly subscription,,16.22,2478-2713,15.00 USD + 8.125% NY Sales Tax
2026-01-27,Posit,Connect Cloud Basic – monthly subscription,,20.54,,PDF confirmed: $19.00 + $1.54 NY tax = $20.54 total
2026-01-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2026-01-04,Windsurf/Exafunction,Windsurf Pro – monthly subscription,,16.22,2264-7801,15.00 USD + 8.125% NY Sales Tax
2025-12-27,Posit,Connect Cloud Basic – monthly subscription,,20.54,,PDF confirmed: $19.00 + $1.54 NY tax = $20.54 total
2025-12-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-12-04,Windsurf/Exafunction,Windsurf Pro – monthly subscription,,16.22,2576-4678,15.00 USD + 8.125% NY Sales Tax
2025-11-27,Posit,Connect Cloud Basic – monthly subscription,,20.54,,PDF confirmed: $19.00 + $1.54 NY tax = $20.54 total
2025-11-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-11-04,Windsurf/Exafunction,Windsurf Pro – monthly subscription,,16.22,2762-2564,15.00 USD + 8.125% NY Sales Tax
2025-10-27,Posit,Connect Cloud Basic – monthly subscription,,20.54,,PDF confirmed: $19.00 + $1.54 NY tax = $20.54 total
2025-10-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-10-04,Windsurf/Exafunction,Windsurf Pro – monthly subscription,,16.22,2049-1914,15.00 USD + 8.125% NY Sales Tax
2025-09-27,Posit,Connect Cloud Basic – monthly subscription,,20.54,,PDF confirmed: $19.00 + $1.54 NY tax = $20.54 total
2025-09-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-09-04,Windsurf/Exafunction,Windsurf Pro – monthly subscription,,16.22,2881-7261,15.00 USD + 8.125% NY Sales Tax
2025-08-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-07-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-06-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-05-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-04-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-03-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-02-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (per seat),,21.63,,Monthly renewal
2025-01-17,ChatGPT/OpenAI,ChatGPT Plus Subscription (first month),,21.63,,20.00 USD + 1.63 USD CA tax
2026-04-29,Anthropic,Prepaid extra usage – Individual plan,46.28,,2507-6844-2787,38.25 EUR + 21% Spanish VAT
2026-04-28,Anthropic,Prepaid extra usage – Individual plan,46.28,,2553-9860-4124,38.25 EUR + 21% Spanish VAT
TOTAL,,,313.38,582.86,,EUR = Anthropic 11 receipts (€313.38). USD = ChatGPT 16×$21.63 ($346.08) + Windsurf 7×$16.22 ($113.54) + Posit 6×$20.54 ($123.24). Grand total USD incl. EUR@1.17: $949.51
